store_name,city,address,phone,rating,website,hours,source,facebook
203 Collectibles LTD.,Edmonton,"2331 66 St NW Unit 312, Edmonton, AB T6K 4B5",,"4.8
(33)",https://www.203collectibles.com/,,,
Al's Sports Quest,Whitecourt,,,,,,Facebook (via Google),https://www.facebook.com/alssportsquest/
All In Sports Den,Fort McMurray,"8324 Franklin Ave, Fort McMurray, AB T9H 4Y9",,"4.3
(16)",,,,
Andys Sports Cards and Collectibles,Calgary,"10093 Hidden Valley Dr NW, Calgary, AB T3A 5Z7",,"4.8
(172)",http://andyssportscards.ca/,,,
Anime Hypercubed,Camrose,"5019 46 St, Camrose, AB T4V 3G3",,"4.5
(13)",,,,
Arkane Angel,Cold Lake,"5123 50 Ave, Cold Lake, AB T9M 2A6",,"4.3
(23)",https://www.arkane-angel.ca/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=3851568251012994274,,,
Avalon Hobbies,Medicine Hat,"717 5 St SW, Medicine Hat, AB T1A 5B9",,"4.7
(104)",http://www.avalonhobbies.com/,,,
Babs Gaming And Sports Cards Inc,Lloydminster,"5720 44 St, Lloydminster, AB T9V 0B3",,"4.7
(46)",http://www.babsgaming.ca/,,,
Battle River Sports Excellence,Camrose,"6120 48 Ave, Camrose, AB T4V 0K5",,"4.9
(18)",http://www.battleriversports.com/,,,
Bill Sr's Sports Cards,Red Deer,"4781 49 St, Red Deer, AB T4N 1T6",,"4.1
(19)",,,,
Bingham's Sports Cards,Lethbridge,"CENTRE VILLAGE MALL, 1240 2A Ave N, Lethbridge, AB T1H 0E4",,"3.1
(8)",,,,
Border City Games,Lloydminster,"5601 31 St #5, Lloydminster, AB T9V 2H3",,"4.7
(94)",http://www.bordercitygames.ca/,,Facebook (via Google),https://m.facebook.com/Bordercitygames/photos/
Calgary Sports Cards,Calgary,,,,,,Facebook (via Google),https://www.facebook.com/groups/1069305387439555/
CamroseNextGen Gaming,Camrose,"5005 46 St, Camrose, AB T4V 3G3",,"5.0
(1)",https://sites.google.com/view/camrosenextgengaming/home,,,
Capital City Cards & Collectibles,Beaumont,"12011 111 Ave NW, Edmonton, AB T5G 0E7",,"5.0
(14)",https://www.instagram.com/capitalcitycardsyeg/?hl=en,,,
Capital City Sports Cards,Edmonton,"7633 50 St NW #101, Edmonton, AB T6B 2W9",,"4.5
(46)",https://www.facebook.com/groups/577619796765695/,,Facebook (via Google),https://www.facebook.com/CapitalCitySportsCards/
Celly Sports & Games,Calgary,"5330 72 Ave SE #131, Calgary, AB T2C 4S7",,"4.9
(110)",http://www.cellysports.com/,,,
Cold Lake Sports Cards,Cold Lake,(780) 573-0808,,,,,,
Collectible Card Caddy,Okotoks,"900 Village Ln 330, 14, Okotoks, AB T1S 1M2",,,http://collectiblecardcaddy.com/,,,
Collectors Books & Cards,Calgary,"7220-A Fairmount Dr SE, Calgary, AB T2H 0X7",,"4.4
(35)",http://collectorsbooksandcards.ca/,,,
Come check out Toy Hosers sale this month!! While ...,Lloydminster,,,,,,Facebook (via Google),https://www.facebook.com/babsgamingandsportscards/posts/come-check-out-toy-hosers-sale-this-month-while-supplies-last/1061539849305461/
Comic Readers,Medicine Hat,"924 S Railway St, Medicine Hat, AB T1A 3G4",,"4.6
(261)",https://comicreadersregina.wordpress.com/,,,
Common Box Games,Beaumont,"8932 118 Ave NW, Edmonton, AB T5B 0T6",,"4.7
(109)",https://commonboxgames.com/,,,
Community Futures Lesser Slave Lake Region,Slave Lake,,,,,,Facebook (via Google),https://m.facebook.com/communityfutureslsl/photos/%F0%9D%97%9F%F0%9D%97%A2%F0%9D%97%A9%F0%9D%97%98-%F0%9D%97%9F%F0%9D%97%A2%F0%9D%97%96%F0%9D%97%94%F0%9D%97%9F-shop-localhave-your-business-listed-for-free-in-our-new-local-busines/1136745335118047/
Cool Pool Cards,Cold Lake,"5107 50 Ave, Cold Lake, AB T9M 1P4",,,,,,
D J's Sports Cards Comics,Red Deer,"#15, 5560 45 St, Red Deer, AB T4N 1L1",,"4.5
(79)",https://www.djsgaming.ca/,,,
D&C's Collectibles,Whitecourt,,,,,,Facebook (via Google),https://www.facebook.com/p/DCs-Collectibles-100072433177013/
"DJS Sportscards, Comics & Collectibles",Red Deer,,,,,,Facebook (via Google),https://www.facebook.com/p/DJS-Sportscards-Comics-Collectibles-100057469930163/
Dave's Card Shop,Brooks,"15734 100 Ave NW, Edmonton, AB T5P 0L1",,"5.0
(22)",http://davescardshop.ca/,,,
Dustin Wolf RARE Autographed Trading Card,Didsbury,,,,,,Facebook (via Google),https://www.facebook.com/marketplace/item/1393055308345376/
ENV Collectible,Sherwood Park,"behind UPS store, 222 Baseline Rd #314, Sherwood Park, AB T8H 1S8",,"4.3
(18)",http://www.envcollectible.com/,,,
Eastridge Sports Cards & Games,Calgary,"7132 Fisher St SE, Calgary, AB T2H 0W5",,"4.5
(389)",http://www.ersportscards.ca/,,Facebook (via Google),https://www.facebook.com/erhobbies/
Eclipse Games,Edmonton,"252 91 St SW, Edmonton, AB T6X 0V1",,"4.7
(41)",https://eclipsegames.ca/,,,
Evolution Sports Excellence,Leduc,"5205 50th Ave #4, Leduc, AB T9E 6T2",,"4.7
(154)",https://evolutionsportsexcellence.com/,,,
Froggers House of Cards and Autograph Gallery,Edmonton,"15521 118 Ave NW, Edmonton, AB T5V 1C5",,"4.9
(267)",https://froggerscards.com/,,,
Galactic Trading Post,Fort McMurray,"8233 Manning Ave Unit 105, Fort McMurray, AB T9H 1X8",,"5.0
(19)",https://galactictp.com/,,,
Games Galore & The Billiard Store,Medicine Hat,"3292 Dunmore Rd SE, Medicine Hat, AB T1B 2R4",,"4.3
(66)",http://www.gamesgalore.ca/,,,
Georges II,Sherwood Park,"52 Brentwood Blvd, Sherwood Park, AB T8A 2H6",,"4.7
(94)",,,,
Hockey Central Sports Memorabilia Inc,Sylvan Lake,,,,,,Facebook (via Google),https://www.facebook.com/p/Hockey-Central-Sports-Memorabilia-Inc-100039454767071/
Holler Collectibles,Camrose,"5016D 52a St, Camrose, AB T4V 1W8",,,https://holler-computer-services-and-collectibles.square.site/s/shop,,,
Holmestead Sports Cards & Collectibles,Red Deer,"6200 67a St, Red Deer, AB T4P 3E8",,"4.5
(33)",https://www.facebook.com/HOLMESTEADSCC,,,
Hyperspace Comics & Games,Spruce Grove,"229 First Ave # 1, Spruce Grove, AB T7X 3X2",,"4.7
(166)",https://hyperspacecomics.com/,,,
Icons and Heroes,Edmonton,"Storefront #1776 WEM, Lower Level, 8882 170 St NW Unit N 106, entrance - 8, Edmonton, AB T5T 4J2",,"4.7
(136)",https://iconsandheroes.ca/,,,
"Jesse Johnston · Edson Buy, Sell and Trade",Hinton,,,,,,Facebook (via Google),https://www.facebook.com/groups/Edsonbuyselltrade/posts/10062460843791902/
King Arthur's Collectibles,Lethbridge,"304 13 St N, Lethbridge, AB T1H 2R8",,"5.0
(2)",https://www.ebay.ca/str/kingarthurscollectiblescanada?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=aZbMmwG3Tr6&sssrc=3418065&ssuid=aZbMmwG3Tr6&widget_ver=artemis&media=COPY,,Facebook (via Google),https://www.facebook.com/kingarthurscollectibles/
Lakeland Sports Cards,Cold Lake,"50 St, Bonnyville, AB T9N 2G3",,"5.0
(2)",https://lakelandsportscards.com/,,,
Level X Cards and Collectibles,Grande Prairie,levelxcards.com,,"5.0
(1)",https://levelxcards.com/,,,
Maple Leaf Sports,Calgary,"2400 Centre Street Northeast #4, Calgary, AB T2E 2T9",,"4.0
(114)",http://www.mapleleafsports.ca/,,,
Mission: Fun & Games,St. Albert,"560 St Albert Trl, St. Albert, AB T8N 6A7",,"4.7
(1,191)",http://www.boardgames.ca/,,,
Morrison Trading Post,Airdrie,"2903 Kingsview Blvd SE #202, Airdrie, AB T4A 0C4",,"4.4
(100)",https://morrisontradingpost.com/,,,
Olympic Sports Cards and Games,Calgary,"180 94 Ave SE, Calgary, AB T2J 3G8",,"4.7
(74)",http://www.olympicsportscardsandgames.com/,,Facebook (via Google),https://m.facebook.com/100073075794816/about/
One Man's Treasure,Westlock,,,,,,Facebook (via Google),https://www.facebook.com/story.php?story_fbid=1095101065732837&id=100056988623826
One Piece TCG Edson AB,Edson,,,,,,Facebook (via Google),https://www.facebook.com/groups/505179282058653/
