Tier,City,Store Name,Address,Phone,Website,Source (competitor listing)
A — explicit card signal,balzac,Double Z Collectibles,"260300 Writing Creek Cres, Balzac, AB T4A 0X8",(403) 404-9781,,https://localcardshopsnearme.com/shops/alberta/balzac/double-z-collectibles-balzac-ab-ejfbm/
A — explicit card signal,balzac,HK Collectibles,"260300 Writing Creek Cres Unit i10, Balzac, AB T4A 0X8",(403) 918-4994,https://hkcollectibles.ca/,https://localcardshopsnearme.com/shops/alberta/balzac/hk-collectibles-balzac-ab-dkit8/
A — explicit card signal,balzac,Ikuzo Cards,"260300 Writing Creek Cres Unit J51, Balzac, AB T4A 0X8",(587) 830-4861,https://ikuzocards.com/,https://localcardshopsnearme.com/shops/alberta/balzac/ikuzo-cards-balzac-ab-codra/
A — explicit card signal,balzac,Overtime Sports Cards & Grading - NEW HORIZON MALL,"260300 Writing Creek Cres, Balzac, AB T0M 0E0",(825) 540-1296,https://www.overtimesportscards.ca/,https://localcardshopsnearme.com/shops/alberta/balzac/overtime-sports-cards-grading-new-horizon-mall-balzac-ab-mgl4c/
A — explicit card signal,balzac,Senshen Collectibles,"260300 Writing Creek Cres, Balzac, AB T4A 0X8",(403) 992-3396,http://www.senshencollectibles.com/,https://localcardshopsnearme.com/shops/alberta/balzac/senshen-collectibles-balzac-ab-q2gbm/
A — explicit card signal,calgary,Earthbound Trading Card Games,"47 Bermondsey Crescent NW, Calgary, AB T3K 1W1",,https://earthboundtcgames.square.site/,https://localcardshopsnearme.com/shops/alberta/calgary/earthbound-trading-card-games-calgary-ab-rpxz8/
A — explicit card signal,calgary,Overtime Sports Cards North Hill Centre,"1632 14 Ave NW Unit 1683, Calgary, AB T2N 1M7",(587) 349-1296,https://www.overtimesportscards.ca/,https://localcardshopsnearme.com/shops/alberta/calgary/overtime-sports-cards-north-hill-centre-calgary-ab-svnqy/
A — explicit card signal,calgary,Reliquary Cards,"6326 Bowness Rd NW, Calgary, AB T3B 0E5",(403) 288-4926,http://www.reliquarycards.com/,https://localcardshopsnearme.com/shops/alberta/calgary/reliquary-cards-calgary-ab-rmp1u/
A — explicit card signal,calgary,Scuffed Cards,"1336 Acadia Dr SE, Calgary, AB T2J 2V9",(403) 818-1586,http://scuffedcards.com/,https://localcardshopsnearme.com/shops/alberta/calgary/scuffed-cards-calgary-ab-qptd8/
A — explicit card signal,calgary,Vaulted YYC - 17th Ave,"1435 17 Ave SW, Calgary, AB T2T 0E1",(403) 474-4445,https://vaultedyyc.com/,https://localcardshopsnearme.com/shops/alberta/calgary/vaulted-yyc-17th-ave-calgary-ab-ijdiw/
A — explicit card signal,calgary,Vaulted YYC Crossroads,"1235 26 Ave SE, Calgary, AB T2G 1R7",(403) 474-4445,https://vaultedyyc.com/,https://localcardshopsnearme.com/shops/alberta/calgary/vaulted-yyc-crossroads-calgary-ab-zhgvs/
A — explicit card signal,castor,"Cards and Collectibles, YK","4220 49 Ave, Castor, AB T0C 0X0, Canada",,https://cardsandcollectibles.company.site/,https://localcardshopsnearme.com/shops/alberta/castor/cards-and-collectibles-yk-castor-ab-adezl/
A — explicit card signal,didsbury,Puck it Cards & Collectibles,"7 Co-Op Rd, Didsbury, AB T0M 0W0, Canada",+1 587-436-8166,https://linktr.ee/puckitcards,https://localcardshopsnearme.com/shops/alberta/didsbury/puck-it-cards-collectibles-didsbury-ab-yyd9f/
A — explicit card signal,edmonton,Foil City Cards,"7810 Gateway Blvd NW, Edmonton, AB T6E 6C3",(825) 402-6528,https://www.foilcitycards.com/,https://localcardshopsnearme.com/shops/alberta/edmonton/foil-city-cards-edmonton-ab-n018g/
A — explicit card signal,edmonton,HPW Cards Inc.,"10553 Kingsway NW, Edmonton, AB T5H 4K1",(587) 785-8885,https://www.hpwcards.com/,https://localcardshopsnearme.com/shops/alberta/edmonton/hpw-cards-inc-edmonton-ab-kwpr0/
A — explicit card signal,edmonton,Hobby Wholesale,"6136 Gateway Blvd NW, Edmonton, AB T6H 2H8",(877) 363-3648,http://www.hobbywholesale.com/,https://localcardshopsnearme.com/shops/alberta/edmonton/hobby-wholesale-edmonton-ab-l6ahg/
A — explicit card signal,edmonton,Imagine+ Toys and Collectibles,"8882 170 St NW Unit 1003, Edmonton, AB T5T 4J2, Canada",+1 780-705-7587,https://www.facebook.com/imagineplusAB?,https://localcardshopsnearme.com/shops/alberta/edmonton/imagine-toys-and-collectibles-edmonton-ab-fkfng/
