Show Name,City,Province,Venue,Address,StartDate,EndDate,Hours,Admission,Website,SourceUrl,Recurring,_status
Sports Card Expo,Calgary,AB,Genesis Centre,7555 Falconridge Blvd NE,2026-09-18,,3:00 PM - 8:00 PM,,https://sportcardexpocalgary.com/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=24789,,CHANGED
Sports Card Expo,Calgary,AB,Genesis Centre,7555 Falconridge Blvd NE,2026-09-19,,10:00 AM - 5:00 PM,,https://sportcardexpocalgary.com/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=24790,,PREVIOUSLY-REJECTED
Sports Card Expo,Calgary,AB,Genesis Centre,7555 Falconridge Blvd NE,2026-09-20,,10:00 AM - 4:00 PM,,https://sportcardexpocalgary.com/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=24791,,PREVIOUSLY-REJECTED
Card Summit,Edmonton,AB,Northgate Lions Recreation Center,11113 113 st,2026-08-29,,10:00 AM - 4:00 PM,,,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=29161,,CHANGED
Chonky Card Show,Richmond,BC,Lipont Place,4211 Number 3 Rd,2026-09-12,,11:00 AM - 5:00 PM,,https://www.instagram.com/p/DcfX0k6lLya/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=31362,,NEW
Metamiraj Card Show,Surrey,BC,Sheraton Hotel Guildford,15269 104 Avenue,2026-09-12,,11:00 AM - 5:00 PM,,https://metamiraj.com/sept-12-2026/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=31363,,NEW
TRADING CARD CON VANCOUVER by CARDS & MORE TOUR - DAY 1,Vancouver,BC,Sheraton Vancouver Wall Centre Hotel,1000 Burrard Street,2026-09-04,,4:00 PM - 10:00 PM,,https://tradingcardcon.com/event/vancouver-canada/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=31367,,NEW
TRADING CARD CON VANCOUVER by CARDS & MORE TOUR - DAY 1,Vancouver,BC,Sheraton Vancouver Wall Centre Hotel,1000 Burrard Street,2026-09-05,,10:00 AM - 7:00 PM,,https://tradingcardcon.com/event/vancouver-canada/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=31366,,CHANGED
TRADING CARD CON VANCOUVER by CARDS & MORE TOUR - DAY 1,Vancouver,BC,Sheraton Vancouver Wall Centre Hotel,1000 Burrard Street,2026-09-06,,10:00 AM - 6:00 PM,,https://tradingcardcon.com/event/vancouver-canada/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=31368,,CHANGED
Coastal Collectibles Convention,Vancouver,BC,South Hall Event Centre,8273 Ross Street,2026-09-26,,10:00 AM - 5:00 PM,,https://www.instagram.com/p/Da9F6wkxWbb/?hl=en,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=31364,,NEW
VanCity Card Show,Vancouver,BC,Vancouver Convention Centre West,,2026-10-02,,2:00 PM - 8:00 PM,,https://www.ontreasure.com/events/vancity-card-show-2026-10022026,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=16927,,CHANGED
VanCity Card Show,Vancouver,BC,Vancouver Convention Centre West,,2026-10-03,,10:00 AM - 6:00 PM,,https://www.ontreasure.com/events/vancity-card-show-2026-10022026,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=16928,,NEW
VanCity Card Show,Vancouver,BC,Vancouver Convention Centre West,,2026-10-04,,10:00 AM - 5:00 PM,,https://www.ontreasure.com/events/vancity-card-show-2026-10022026,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=16929,,NEW
Hobbycon Guelph,Guelph,ON,340 Woodlawn Rd. W,#26,2026-09-07,,9:00 AM - 3:00 PM,,,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=21095,,CHANGED
Hobbycon Guelph,Guelph,ON,340 Woodlawn Rd. W,#26,2026-11-14,,9:00 AM - 3:00 PM,,,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=21097,,CHANGED
Hobbycon Guelph,Guelph,ON,340 Woodlawn Rd. W,#26,2026-12-19,,9:00 AM - 3:00 PM,,,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=21098,,CHANGED
"Hanover Card, Toy & Collectible Show",Hanover,ON,"Hanover Card, Toy & Collectible Show","Sunday, September 13, 2026 (10:00 AM - 3:00 PM)",2026-09-13,,10:00 AM - 3:00 PM,,https://www.facebook.com/share/1EMoArry48/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=26625,,CHANGED
NorthSide TCG Cards & Collectibles Show,Mississauga,ON,St Judes Ac Dome,,2026-08-29,,12:00 PM - 7:00 PM,,,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=31357,,CHANGED
NorthSide TCG Cards & Collectibles Show,Mississauga,ON,St Judes Ac Dome,,2026-08-29,,12:00 PM - 7:00 PM,,,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=31358,,CHANGED
Nostalgia Fest Expo @ Square One,Mississauga,ON,Square One Event Hall,199 Rathburn Rd West,2026-10-09,,4:00 PM - 6:00 PM,,https://www.eventbrite.com/e/nostalgia-fest-expo-at-square-one-free-3-day-tcg-collectibles-event-tickets-1998224234476?aff=oddtdtcreator,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=30642,,CHANGED
Sport Card Expo Toronto,Mississauga,ON,The International Centre,,2026-11-05,,4:00 AM - 8:00 PM,,,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=18008,,CHANGED
Hobby Con Mississauga,Mississauga,ON,Erosk Convention Center,,2026-11-07,,10:00 AM - 6:00 PM,,,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=21132,,CHANGED
Hobby Con Ottawa,Ottawa,ON,Mosaic Convention Center,2465 St. Laurent Blvd,2026-09-12,,9:00 AM - 3:00 PM,,,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=21141,,CHANGED
Monthly Sports Card & Comic Book Show,Ottawa,ON,Nepean Sportsplex CURLING RINK,1701 Woodroffe Ave. S,2026-09-12,,10:00 AM - 3:00 PM,,http://capitaltradeshows.com/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=16939,,CHANGED
Monthly Sports Card & Comic Book Show,Ottawa,ON,Nepean Sportsplex CURLING RINK,1701 Woodroffe Ave. S,2026-09-13,,10:00 AM - 3:00 PM,,http://capitaltradeshows.com/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=16940,,PREVIOUSLY-REJECTED
Monthly Sports Card & Comic Book Show,Ottawa,ON,Nepean Sportsplex,1701 Woodroffe Ave. S,2026-10-11,,10:00 AM - 3:00 PM,,http://capitaltradeshows.com/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=16941,,CHANGED
