slug,name,city,province,website,status,verdict,proposed_categories,evidence,generic_sports_hits,name_suggests_sports
snap-collectables-airdrie,Snap! Collectables,Airdrie,AB,http://www.snapcollectables.com/,200,NO-CATEGORY-EVIDENCE,,,,
hk-collectibles-balzac,HK Collectibles,Balzac,AB,https://hkcollectibles.ca/,200,TCG-ONLY,One Piece|Pokemon,One Piece: one\s*piece\s*(tcg|cards?|booster); Pokemon: pok[eé]mon\s*(cards?|tcg|singles?|booster|etb),,
senshen-collectibles-balzac,Senshen Collectibles,Balzac,AB,http://www.senshencollectibles.com/,200,TCG-ONLY,Pokemon,Pokemon: pok[eé]mon\s*(cards?|tcg|singles?|booster|etb),,
lakeland-sports-cards-bonnyville,Lakeland Sports Cards,Bonnyville,AB,https://lakelandsportscards.com/,200,SPORTS-GENERIC,,,sports?\s*cards?,yes
andys-sports-cards-and-collectibles-calgary,Andys Sports Cards and Collectibles,Calgary,AB,http://andyssportscards.ca/,200,SPORTS-GENERIC,,,sports?\s*cards?,yes
earthbound-trading-card-games-calgary,Earthbound Trading Card Games,Calgary,AB,https://earthboundtcgames.square.site/,200,NO-CATEGORY-EVIDENCE,,,,
olympic-sports-cards-and-games-calgary,Olympic Sports Cards and Games,Calgary,AB,http://www.olympicsportscardsandgames.com/,200,SPORTS-GENERIC,,,sports?\s*cards?,yes
reliquary-cards-calgary,Reliquary Cards,Calgary,AB,http://www.reliquarycards.com/,200,TCG-ONLY,Lorcana|Magic|Pokemon,Lorcana: \blorcana\b; Magic: magic:?\s*the\s*gathering; Pokemon: pok[eé]mon\s*(cards?|tcg|singles?|booster|etb),,
screen-free-games-calgary-calgary,Screen Free Games Calgary,Calgary,AB,https://screenfreegames.com/,200,BOTH,Baseball|Basketball|Hockey|Lorcana|Magic|One Piece|Pokemon|Yu-Gi-Oh,Baseball: baseball\s*cards?; Basketball: basketball\s*cards?; Hockey: hockey\s*cards?; Lorcana: \blorcana\b; Magic: magic:?\s*the\s*gathering; One Piece: one\s*piece\s*(tcg|cards?|booster); Pokemon: pok[eé]mon\s*(cards?|tcg|singles?|booster|etb); Yu-Gi-Oh: yu-?gi-?oh,sports?\s*cards?,
scuffed-cards-calgary,Scuffed Cards,Calgary,AB,http://scuffedcards.com/,200,TCG-ONLY,Magic|Yu-Gi-Oh,Magic: magic:?\s*the\s*gathering; Yu-Gi-Oh: yu-?gi-?oh,,
vaulted-yyc-17th-ave-calgary,Vaulted YYC - 17th Ave,Calgary,AB,https://vaultedyyc.com/,200,TCG-ONLY,Pokemon,Pokemon: pok[eé]mon\s*(cards?|tcg|singles?|booster|etb),,
vaulted-yyc-crossroads-calgary,Vaulted YYC Crossroads,Calgary,AB,https://vaultedyyc.com/,200,TCG-ONLY,Pokemon,Pokemon: pok[eé]mon\s*(cards?|tcg|singles?|booster|etb),,
camrosenextgen-gaming-camrose,CamroseNextGen Gaming,Camrose,AB,https://sites.google.com/view/camrosenextgengaming/home,200,NO-CATEGORY-EVIDENCE,,,,
holler-collectibles-camrose,Holler Collectibles,Camrose,AB,https://holler-computer-services-and-collectibles.square.site/s/shop,200,NO-CATEGORY-EVIDENCE,,,,
retro-camrose,Retro,Camrose,AB,https://play-here.ca/,200,NO-CATEGORY-EVIDENCE,,,,
the-data-base-camrose-camrose,The Data Base Camrose,Camrose,AB,http://www.thedatabasecamrose.ca/,200,NO-CATEGORY-EVIDENCE,,,,
