Show Name,City,Province,Venue,Address,StartDate,EndDate,Hours,Admission,Website,SourceUrl,Recurring,Table Booking,Organizer
Card Summit,Edmonton,AB,Central Lions Rec Center,11113 113 St,2026-09-26,,10:00 AM - 4:00 PM,,https://www.instagram.com/thecardsummit/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=31800,,,
Chonky Card Show,Richmond,BC,Lipont Place,"4211 No. 3 Road, Richmond, BC V6X 3A7",2026-09-12,,11:00 AM - 5:00 PM,,https://www.instagram.com/chonkycardshow/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=31362,,,
The REDEYE Show by Jetlagged Cards,Richmond,BC,RRCG Hall,"7891 Cambie Rd, Richmond, BC",2026-09-18,,7:00 PM - 11:00 PM,,https://www.jetlaggedcards.com/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=31798,,,
Collector's Fest by Lazy Trading Cards,Richmond,BC,Hilton Vancouver Airport Hotel Grand Ballroom,"5911 Minoru Blvd, Richmond, BC V6X 4C7",2026-09-19,,10:00 AM - 6:00 PM,,https://lazytradingcards.com/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=32115,,,
Metamiraj Card Show,Surrey,BC,Sheraton Hotel Guildford,"15269 104 Avenue, Surrey, BC V3R 1N5",2026-09-12,,11:00 AM - 5:00 PM,$5,https://metamiraj.com/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=31363,monthly,,
Metamiraj Card Show,Surrey,BC,Sheraton Hotel Guildford,"15269 104 Avenue, Surrey, BC V3R 1N5",2026-10-10,,11:00 AM - 5:00 PM,Free,https://metamiraj.com/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=32112,monthly,,
Metamiraj Card Show,Surrey,BC,Sheraton Hotel Guildford,"15269 104 Avenue, Surrey, BC V3R 1N5",2026-11-07,,11:00 AM - 5:00 PM,$5,https://metamiraj.com/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=32113,monthly,,
Metamiraj Card Show,Surrey,BC,Sheraton Hotel Guildford,"15269 104 Avenue, Surrey, BC V3R 1N5",2026-12-13,,11:00 AM - 5:00 PM,Free,https://metamiraj.com/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=32114,monthly,,
MEGA MIRAJ,Surrey,BC,Aria Banquet & Convention Centre,"12350 Pattullo Pl, Surrey, BC V3V 8C3",2027-02-06,2027-02-07,11:00 AM - 6:00 PM,Free general admission; optional paid VIP tickets,https://metamiraj.com/megamiraj/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=32110,,,
Coastal Collectibles Convention,Vancouver,BC,Croatian Cultural Centre,"3250 Commercial Drive, Vancouver, BC",2026-09-26,,10:00 AM - 5:00 PM,,https://www.facebook.com/p/Coastal-Collectibles-Convention-61585439110093/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=31364,,,
North American Card Exchange - Free Sports and Pokemon Show,Brampton,ON,Brampton Soccer Center,1495 Sandalwood Pkwy E,2026-09-20,,11:00 AM - 6:00 PM,Free,https://www.ontreasure.com/events/nace-free-pokemon-and-sports-card-event-09202026,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=32161,,,
COLLECT EX: Burlington,Burlington,ON,Burlington Centre Mall,777 Guelph Line,2026-09-19,,9:30 AM - 5:00 PM,,https://www.instagram.com/p/Dc_xev1m8Zd/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=32118,,,
Collectors Summit,Hamilton,ON,"Mohawk College Fennell Campus, The Joyce Centre",135 Fennell Ave W,2026-09-09,,10:00 AM - 2:00 PM,Free,https://www.ontreasure.com/events/vizioncollective-09092026,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=31707,,,
Living Sky Card Show,Moose Jaw,SK,Cosmo Senior Centre,235 3rd Ave NE,2026-11-14,,10:00 AM - 3:00 PM,,https://www.instagram.com/livingskycollectibles/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=31404,,,
