name,city,province,website,other_category,status,verdict,strong_hits,weak_hits
Snap! Collectables,Airdrie,AB,http://www.snapcollectables.com/,no category matched,200,AMBIGUOUS,,\bcomics?\b|collectib
Battle River Sports Excellence,Camrose,AB,http://www.battleriversports.com/,sporting goods,200,NO-CARD-EVIDENCE,,
CamroseNextGen Gaming,Camrose,AB,https://sites.google.com/view/camrosenextgengaming/home,no category matched,200,NO-CARD-EVIDENCE,,
Holler Collectibles,Camrose,AB,https://holler-computer-services-and-collectibles.square.site/s/shop,no category matched,200,NO-CARD-EVIDENCE,,
Quantum Comics & Collectibles,Camrose,AB,http://www.quantumcomics.ca/,no category matched,200,CARDS-LIKELY,magic:?\s*the\s*gathering,\bcomics?\b
Retro,Camrose,AB,https://play-here.ca/,no category matched,200,NO-CARD-EVIDENCE,,
The Data Base Camrose,Camrose,AB,http://www.thedatabasecamrose.ca/,no category matched,200,NO-CARD-EVIDENCE,,
Arkane Angel,Cold Lake,AB,https://www.arkane-angel.ca/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=3851568251012994274,no category matched,200,NO-CARD-EVIDENCE,,
Capital City Cards & Collectibles,Edmonton,AB,https://www.instagram.com/capitalcitycardsyeg/?hl=en,no category matched,200,NO-CARD-EVIDENCE,,
Prisma Games,Edmonton,AB,http://www.prismatcg.com/,sporting goods,200,CARDS-CONFIRMED,\bbuy\s*list\b|\bbuylist\b,\bcards?\b
Strange Ideas Comics and Collectibles,Grande Prairie,AB,https://www.strangeideascomics.ca/,no category matched,200,NO-CARD-EVIDENCE,,
Evolution Sports Excellence,Leduc,AB,https://evolutionsportsexcellence.com/,sporting goods,200,NO-CARD-EVIDENCE,,
King Arthur's Collectibles,Lethbridge,AB,https://www.ebay.ca/str/kingarthurscollectiblescanada?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=aZbMmwG3Tr6&sssrc=3418065&ssuid=aZbMmwG3Tr6&widget_ver=artemis&media=COPY,no category matched,200,CARDS-CONFIRMED,\bpanini\b|\btopps\b|sports?\s*cards?|trading\s*cards?|upper\s*deck,\bcards?\b|collectib
Avalon Hobbies,Medicine Hat,AB,http://www.avalonhobbies.com/,gundam/models;diecast;rc,200,AMBIGUOUS,,\bhobby\b
Games Galore & The Billiard Store,Medicine Hat,AB,http://www.gamesgalore.ca/,no category matched,200,AMBIGUOUS,,\bcards?\b
Sports Closet,Sherwood Park,AB,https://sportscloset.ca/,sporting goods,200,CARDS-LIKELY,\bfanatics\b,\bcards?\b|collectib
Hyper Games Chamber,Slave Lake,AB,https://www.hypergameschamber.ca,no category matched,200,NO-CARD-EVIDENCE,,
Paradise Games and Customs,Spruce Grove,AB,http://paradisegames.ca/,no category matched,200,NO-CARD-EVIDENCE,,
Sports Closet,St. Albert,AB,https://sportscloset.ca/,sporting goods,200,CARDS-LIKELY,\bfanatics\b,\bcards?\b|collectib
ThunderGround Comics And Collectibles,St. Albert,AB,http://www.thundergroundcomics.com/,no category matched,200,CARDS-CONFIRMED,\bmtg\b|booster\s*(box|pack)|magic:?\s*the\s*gathering,\bcards?\b|\bcomics?\b
