slug,Store Name,City,Province,Address,Rating,Review Count,Google formattedAddress,Google Place ID
toyz-game-emporium-inc-grande-prairie,Toyz Game Emporium Inc,Grande Prairie,AB,"11012 100 St #107, Grande Prairie, AB T8V 2N1",4.5,265,"11012 100 St #107, Grande Prairie, AB T8V 2N1, Canada",ChIJIxSPI62WkFMRX8e0yGPt23I
babs-gaming-and-sports-cards-inc-lloydminster,Babs Gaming And Sports Cards Inc,Lloydminster,AB,"5720 44 St, Lloydminster, AB T9V 0B3",4.6,56,"5720 44 St, Lloydminster, AB T9V 0B6, Canada",ChIJR_JxguezCVMRZVnfgTwwxFg
the-cardboard-casket-medicine-hat,The Cardboard Casket,Medicine Hat,AB,"1201 Kingsway Ave SE #201, Medicine Hat, AB T1A 2Y2",4.5,51,"1201 Kingsway Ave SE #201, Medicine Hat, AB T1A 2Y2, Canada",ChIJbZNP0CktE1MRMGN43R-YXjg
brightside-hobbies-brightside-tcg-morinville,Brightside Hobbies (Brightside TCG),Morinville,AB,"10130 100 Ave, Morinville, AB T8R 1P8",,,"10130 100 Ave, Morinville, AB T8R 1S3, Canada",ChIJj8FQGHctoFMRQ-bsV-yMk3o
tailgate-mercantile-co-okotoks,Tailgate Mercantile Co.,Okotoks,AB,"21 Elizabeth St Unit 2, Okotoks, AB",4.2,26,"Box 308, 21 Elizabeth St, Okotoks, AB T1S 1A6, Canada",ChIJdcDmKT-ZcVMRkZ8liMKWWUk
bill-sr-s-sports-cards-red-deer,Bill Sr's Sports Cards,Red Deer,AB,"4781 49 St, Red Deer, AB T4N 1T6",4.3,18,"4781 49 St, Red Deer, AB T4N 1T6, Canada",ChIJ_dsEIS9UdFMRCZipmrOF7Mg
hockey-central-sports-memorabilia-inc-sylvan-lake,Hockey Central Sports Memorabilia Inc,Sylvan Lake,AB,"3715 47 Ave Unit 330, Sylvan Lake, AB T4S 0C8",4.1,269,"3715 47 Ave #315, Sylvan Lake, AB T4S 0K4, Canada",ChIJJe4HzemydVMRQulkOFSjkMU
sn-hobbies-new-westminster,SN Hobbies,New Westminster,BC,"814 12th St, New Westminster, BC V3M 4K1",4.4,301,"814 12th St, New Westminster, BC V3M 4K1, Canada",ChIJ86f0GNd3hlQR1K684U98HbM
penticton-sports-cards-collectables-penticton,Penticton Sports Cards & Collectables,Penticton,BC,"288 Westminster Ave W, Penticton, BC V2A 1J9",4.3,216,"288 Westminster Ave W, Penticton, BC V2A 1J9, Canada",ChIJAXF8OXBiglQRx5vbnNzAPn8
mandalorian-emporium-squamish,Mandalorian Emporium,Squamish,BC,"1333 Pemberton Ave, Squamish, BC V8B 0A6",4.7,33,"1333 Pemberton Ave, Squamish, BC V8B 0A6, Canada",ChIJb--EHtn5hlQRXdR33VUrzdI
triple-play-sports-cards-victoria,Triple Play Sports Cards,Victoria,BC,"1209 Wharf St, Victoria, BC V8W 1T9",4.2,100,"1209 Wharf St, Victoria, BC V8W 1T9, Canada",ChIJN4qhJk5zj1QRnJz-r-6-_kQ
bay-breakers-happy-valley-goose-bay,Bay Breakers,Happy Valley-Goose Bay,NL,"9 Ikey St, Happy Valley-Goose Bay, NL A0P 1C0",,,"9 Ikey St, Happy Valley-Goose Bay, NL A0P 1C0, Canada",ChIJiTnx6rd5e0wRX-ZQ4mkdF8Q
muskoka-cards-collectibles-bracebridge,Muskoka Cards & Collectibles,Bracebridge,ON,"16A Manitoba St, Bracebridge, ON P1L 1R9",4.6,58,"16A Manitoba St, Bracebridge, ON P1L 1R9, Canada",ChIJwR0NXwCHKk0RE5EiekYvx_Q
prospects-antiques-sports-cards-gravenhurst,Prospects Antiques & Sports Cards,Gravenhurst,ON,"130 Muskoka Road South, Gravenhurst, ON P1P 1T5",,,"130 Muskoka Rd S, Gravenhurst, ON P1P 1H4, Canada",ChIJ9aBWBPmaKk0R0NY4sDh55yo
bfireballdragon-greater-sudbury,BFireBallDragon,Greater Sudbury,ON,"1490 Main St, Val Caron, ON P3N 1P8",4.1,288,"1642 Main St, Val Caron, ON P3N 1C8, Canada",ChIJC9Dy-raoL00Rwwg7mzZK8T0
tcm-the-card-mann-sports-cards-pokemon-grimsby,TCM - The Card Mann Sports Cards Pokemon,Grimsby,ON,"63 Main St W, Grimsby, ON L3M 4H1",,,"63 Main St W, Grimsby, ON L3M 4H1, Canada",ChIJ8a4qfX6lLIgRZeT8H6f37gY
north-western-games-kenora,North-Western Games,Kenora,ON,"Kenora, ON (exact address not confirmed)",4.7,9,"103 Main St S, Kenora, ON P9N 1T1, Canada",ChIJZWleAoIIvlIRYJlsgL52TEE
booster-house-kingston,Booster House,Kingston,ON,"635 MacDonnell St #1, Kingston, ON K7K 4X2",4.8,25,"635 MacDonnell St #1, Kingston, ON K7K 4X2, Canada",ChIJH2raxuoKJawRWw-dQyvwDGY
northern-sports-cards-lindsay-kawartha-lakes,Northern Sports Cards,Lindsay (Kawartha Lakes),ON,"55 Mary Street West, Lindsay, ON",4.7,7,"unit 112A, 55 Mary St W, Lindsay, ON K9V 3N6, Canada",ChIJVY2gFft51YkRg_RyOipNRPU
trade-em-stadium-stoney-creek,Trade Em Stadium,Stoney Creek,ON,"570 Hwy 8 Unit 3, Stoney Creek, ON L8G 4M2",4.5,35,"570 ON-8 Unit 3, Stoney Creek, ON L8G 4M2, Canada",ChIJcdjMmqWjLIgR9lV2LpT01J8
nutts-collectables-woodstock,Nutts Collectables,Woodstock,ON,"563 Dundas Street, Woodstock, ON",3.3,38,"563 Dundas St, Woodstock, ON N4S 1C6, Canada",ChIJQ6NhkRIfLIgR6zuuLyCO2Dk
em-cards-and-collectibles-charlottetown,EM Cards and Collectibles,Charlottetown,PE,"95 Capital Drive, Unit 1166, Charlottetown, PE",4.9,90,"95 Capital Dr Unit 116b, Charlottetown, PE C1E 1R4, Canada",ChIJgeeuPRytX0sRuoIjRhEEExk
next-level-games-and-collectibles-summerside,Next Level Games and Collectibles,Summerside,PE,"251 Water St Unit E, Summerside, PE C1N 1B5",5,13,"251 Water St Unit E, Summerside, PE C1N 1B5, Canada",ChIJvT0JeIObX0sR5I16FMJo8b8
la-zone-retro-amos,La Zone Rétro,Amos,QC,"82 1re Avenue Est, Amos, QC J9T 4B2",4.6,18,"82 1re Avenue E, Amos, QC J9T 4B2, Canada",ChIJec_SNYqSIE0RMNJdsw7Srvo
univers-fantastique-beloeil,Univers Fantastique,Beloeil,QC,"951 rue Bernard-Pilon, Beloeil, QC J3G 1V7",4.8,133,"951 Rue Bernard-Pilon, Beloeil, QC J3G 1V7, Canada",ChIJrbwXCMWqyUwRo9M5HowzbDE
hobby-o-max-chicoutimi-chicoutimi-saguenay,Hobby O Max Chicoutimi,Chicoutimi (Saguenay),QC,"405 rue Racine Est, Chicoutimi, QC",4.4,14,"405 Rue Racine E, Chicoutimi, QC G7H 4S5, Canada",ChIJsR7nHT8nwEwR3B6Pl93fIdA
la-magie-des-cartes-drummondville,La magie des cartes,Drummondville,QC,"260-A rue Brock, Drummondville, QC J2C 1M4",4.1,11,"260 Rue Brock, Drummondville, QC J2C 1M4, Canada",ChIJjw9ToG8RyEwRhqQywbLovEU
cartes-sportives-jumbo-bear-laval,Cartes sportives Jumbo Bear,Laval,QC,"1004 B rue de Callières, Laval, QC H7E 3N2",3.5,24,"1004B Rue de Callières, Laval, QC H7E 3N2, Canada",ChIJwSPnc9whyUwRwkNBEtaFOBs
geek-factory-mtl-montreal,Geek Factory MTL,Montréal,QC,"2622 rue Jean-Talon Est, Montréal, QC H2A 1V3",4.4,38,"2622 Rue Jean-Talon E, Montréal, QC H2A 1V3, Canada",ChIJ42daAwYZyUwRR_YVrz__ros
tw-sportcards-montreal,TW Sportcards,Montréal,QC,"5264 rue Bélanger, Montréal, QC",5,9,"5264 Rue Bélanger, Montréal, QC H1T 1E2, Canada",ChIJpwnKkJceyUwRAzlOy7bh9nQ
hobby-nation-3r-trois-rivieres,Hobby Nation 3R,Trois-Rivières,QC,"4270 boulevard des Forges, Trois-Rivières, QC G8Y 1W3",4.7,26,"4270 Bd des Forges, Trois-Rivières, QC G8Y 2T7, Canada",ChIJ107uw3LJx0wRkA4d7rm7DNM
la-zone-retro-val-d-or,La Zone Rétro,Val-d'Or,QC,"864 3e Avenue, Val-d'Or, QC J9P 1T1",4.3,117,"864 3e Avenue, Val-d'Or, QC J9P 1T1, Canada",ChIJWzYx4gVT30wR7z8xG2OWI4o
