slug,research_file,confidence,source_urls
mintink-ajax-ajax,plan3-ontario.md,medium,https://www.facebook.com/ConnectionsDurham/posts/1257847989722354/
rival-cards-ajax,plan3-ontario.md,high,https://rivalcards.com/
thesix-ygo-ajax,plan3-ontario.md,low,https://localcardshopsnearme.com/shops/ontario/ajax/thesix-ygo-ajax-on-kxv6c/
box-of-cards-sports-cards-aurora,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/aurora/box-of-cards-sports-cards-aurora-on-nzttk/
big-b-comics-barrie,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/barrie/big-b-comics-barrie-on-norag/
box-of-cards-sports-cards-barrie,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/barrie/box-of-cards-sports-cards-barrie-on-rrjqi/
doug-laurie-sports-barrie,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/barrie/doug-laurie-sports-barrie-on-nfwai/
gamer-s-lair-ltd-barrie,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/barrie/gamer-s-lair-ltd-barrie-on-blfgk/
ideal-hobbies-barrie,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/barrie/ideal-hobbies-barrie-on-wm1cy/
loot-kingdom-barrie,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/barrie/loot-kingdom-barrie-on-fwnhc/
northern-realm-cards-comics-and-games-barrie,plan3-ontario.md,low,https://localcardshopsnearme.com/shops/ontario/barrie/northern-realm-cards-comics-and-games-barrie-on-lub1s/
omg-games-barrie,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/barrie/omg-games-barrie-on-d8wrs/
pok-mon-tcg-store-barrie,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/barrie/poke-mon-tcg-store-barrie-on-txsrm/
power-up-gaming-barrie,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/barrie/power-up-gaming-barrie-on-d80ye/
retro-chase-games-barrie,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/barrie/retro-chase-games-barrie-on-oawje/
sell-your-pokemon-cards-barrie,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/barrie/sell-your-pokemon-cards-barrie-on-abe1g/
sir-games-a-lot-barrie,plan3-ontario.md,low,https://localcardshopsnearme.com/shops/ontario/barrie/sir-games-a-lot-barrie-on-mhgc4/
video-time-barrie,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/barrie/video-time-barrie-on-dmlgu/
stephen-licence-bicycles-hobbies-belleville,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/belleville/stephen-licence-bicycles-hobbies-belleville-on-xiy7r/
mint-sports-cards-collectibles-bolton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/bolton/mint-sports-cards-collectibles-bolton-on-dkcjm/
cardboard-memories-inc-brampton,plan3-ontario.md,medium,https://www.cardboardmemories.ca/
doe-s-cards-brampton,plan3-ontario.md,high,https://doescards.ca/
dragon-world-card-games-collectibles-brampton,plan3-ontario.md,medium,https://locator.wizards.com/store/6179
fearocards-brampton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/brampton/fearocards-brampton-on-vgrxe/
gateway-cards-sports-brampton,plan3-ontario.md,medium,https://shopswb.com/store/gateway
rolls-and-realms-inc-brantford,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/brantford/rolls-and-realms-inc-brantford-on-7sm1w/
breakers-choice-burlington,plan3-ontario.md,high,https://breakerschoice.com/
hall-of-fame-collection-burlington,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/burlington/hall-of-fame-collection-burlington-on-0wzw0/
forbes-hobbies-cambridge,plan3-ontario.md,medium,https://www.yelp.ca/biz/forbes-hobbies-cambridge
mk-kards-cambridge,plan3-ontario.md,medium,https://mkkards.com/
kwon-tin-s-hobby-shop-concord,plan3-ontario.md,low,https://localcardshopsnearme.com/shops/ontario/concord/kwon-tin-s-hobby-shop-concord-on-vb27o/
total-sports-cards-collectibles-etobicoke,plan3-ontario.md,high,https://totalsportcards.com/pages/about-us
bfireballdragon-greater-sudbury,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/greater-sudbury/bfireballdragon-greater-sudbury-on-9gz5o/
card-chop-77-greater-sudbury,plan3-ontario.md,low,https://localcardshopsnearme.com/shops/ontario/greater-sudbury/card-chop-77-greater-sudbury-on-lsjte/
comics-north-greater-sudbury,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/greater-sudbury/comics-north-greater-sudbury-on-qjk5m/
diadem-cards-hobbies-greater-sudbury,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/greater-sudbury/diadem-cards-hobbies-greater-sudbury-on-da2cm/
docs-hobby-shop-greater-sudbury,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/greater-sudbury/docs-hobby-shop-greater-sudbury-on-wopho/
great-canadian-card-co-greater-sudbury,plan3-ontario.md,medium,https://www.shopsudbury.com/great-canadian-card-co__p3a-1z6__705-566-5093/
great-canadian-games-hobbies-greater-sudbury,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/greater-sudbury/great-canadian-games-hobbies-greater-sudbury-on-tvgwm/
great-white-north-pottery-supplies-greater-sudbury,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/greater-sudbury/great-white-north-pottery-supplies-greater-sudbury-on-7pnku/
nepal-handicrafts-greater-sudbury,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/greater-sudbury/nepal-handicrafts-greater-sudbury-on-r2pzk/
retro-relics-greater-sudbury,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/greater-sudbury/retro-relics-greater-sudbury-on-43mmi/
slab-labs-tcg-greater-sudbury,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/greater-sudbury/slab-labs-tcg-greater-sudbury-on-rexwi/
valixya-greater-sudbury,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/greater-sudbury/valixya-greater-sudbury-on-wplqe/
brodie-s-gaming-guelph,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/guelph/brodie-s-gaming-guelph-on-uup1a/
cameron-cards-guelph,plan3-ontario.md,low,https://localcardshopsnearme.com/shops/ontario/guelph/cameron-cards-guelph-on-iipbe/
microplay-video-games-collectibles-guelph,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/guelph/microplay-video-games-collectibles-guelph-on-jx5de/
royal-cat-records-guelph,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/guelph/royal-cat-records-guelph-on-l9gqo/
scahub-marketplace-guelph,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/guelph/scahub-marketplace-guelph-on-goh9w/
simply-wonderful-toys-gizmos-inc-guelph,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/guelph/simply-wonderful-toys-gizmos-inc-guelph-on-abnra/
