HPW Cards Inc.,Edmonton,"10553 Kingsway NW, Edmonton, AB T5H 4K1",,,(587) 785-8885,https://hpwcards.com/,https://www.facebook.com/hpwcards/,Sells;Grading Services,Pokemon;Other,53.55731,-113.50200
Overtime Sports Cards & Memorabilia,Grande Prairie,"11801 100 Street, Grande Prairie, AB",,,,,,Sells,Other,55.18813,-118.79229
Stony Plain Games and Collectables,Stony Plain,"5101 50 Street, Stony Plain, AB",,,,,,Sells,Pokemon;Magic;Other,53.52857,-114.00657
PayMore St. Albert,St. Albert,"2003 Tudor Glen Pl, St. Albert, AB",,,,https://stalbertab.paymore.ca/,,Buys;Sells;Trades Singles,Pokemon,53.61935,-113.61107
Stettler Game Corner,Stettler,"4940 50 St, Stettler, AB T0C 2L2",,,,,,Sells,Magic;Other,52.32584,-112.70564
Wizard's Loft,Red Deer,"110-5201 54 Ave, Red Deer, AB T4N 5K5",,,(403) 986-3706,,,Sells,Magic;Other,52.27181,-113.81846
Hockey Central Sports Memorabilia Inc,Sylvan Lake,"203-5227 Lakeshore Dr, Sylvan Lake, AB T4S 1Y8",,,(403) 858-1100,,,Sells,Hockey;Other,52.31042,-114.10423
Yellow Shirt Relics,Sylvan Lake,(no street address published),,,(403) 307-3244,https://yellowshirtrelics.com/,,Sells,Other,52.31036,-114.09729
Level X Cards and Collectibles,Grande Prairie,(no street address published),,,,https://levelxcards.com/,https://www.facebook.com/levelxcards/,Sells;Trades Singles,Pokemon;Other,55.17072,-118.79468
One Man's Treasure,Stony Plain,"4912 50 Ave, Stony Plain, AB T7Z 1S9",,,(780) 963-7776,,https://www.facebook.com/onemanstreasurestonyplain/,Sells,Other,53.52943,-114.00574
GameZilla Moncton,Moncton,"511 Mountain Rd, Moncton, NB E1C 2N4",,,506-855-7101,https://gamezilla.ca/,https://www.facebook.com/GamezillaBathurst/,Buys;Sells;Sells Wax,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other,46.09806,-64.79664
