slug,research_file,confidence,source_urls
outpost-sports-cards-and-games-edmonton,expansion-ab-nt-nu.md,high,https://outposttradingcards.ca/ ; https://locator.wizards.com/store/19492 ; https://www.facebook.com/outposttradingcardsYEG/
gamesland-canada-edmonton,expansion-ab-nt-nu.md,high,https://gamesland.ca/ ; https://www.yelp.ca/biz/gamesland-edmonton-5 ; https://www.facebook.com/gameslandcanada/
swirl-caf-games-edmonton,expansion-ab-nt-nu.md,high,https://swirlyeg.com/en-us ; https://swirlyeg.com/en-us/pages/contact ; https://www.facebook.com/swirlYEG/
hpw-cards-inc-edmonton,expansion-ab-nt-nu.md,medium,https://hpwcards.com/ ; https://www.psacard.com/dealers/detail/hpw-cards-inc/5171 ; https://www.facebook.com/hpwcards/
shoebox-games-cafe-calgary,expansion-ab-nt-nu.md,high,https://www.shoeboxgc.com/ ; https://calgary.cdncompanies.com/store/shoebox-games-cafe-calgary/ ; https://www.facebook.com/shoeboxgc/
cardera-collectibles-balzac-rocky-view-county,expansion-ab-nt-nu.md,high,https://carderaco.com/ ; https://carderaco.com/pages/contact ; https://www.instagram.com/carderacollectibles/
premier-sportscards-banff,expansion-ab-nt-nu.md,high,https://www.banfflakelouise.com/business/premier-sports-cards ; https://www.yellowpages.ca/bus/Alberta/Banff/Premier-Sportscards/7696858.html
tugs-cards-comics-tugs-pop-culture-sports-drumheller,expansion-ab-nt-nu.md,high,https://www.yellowpages.ca/bus/Alberta/Drumheller/TUGS-CARDS-COMICS/4347211.html ; https://www.yelp.ca/biz/tugs-cards-and-comics-drumheller
imperial-garden-sports-collectibles-grande-prairie,expansion-ab-nt-nu.md,high,https://imperialgardensc.com/ ; https://imperialgardensc.com/pages/contact ; https://www.yellowpages.ca/bus/Alberta/Grande-Prairie/Imperial-Gardens-Sports-Collectibles/101503615.html
overtime-sports-cards-memorabilia-grande-prairie,expansion-ab-nt-nu.md,medium,https://www.yelp.ca/biz/overtime-sports-cards-and-memorabilia-grande-prairie
stony-plain-games-and-collectables-stony-plain,expansion-ab-nt-nu.md,medium,https://m.yelp.com/biz/stony-plain-games-and-collectables-stony-plain
paymore-st-albert-st-albert,expansion-ab-nt-nu.md,medium,https://stalbertab.paymore.ca/collections/pokemon-trading-cards ; https://paymore.ca/paymore-st-albert/
the-fort-board-games-and-card-games-the-fort-gaming-collectibles-fort-saskatchewan,expansion-ab-nt-nu.md,high,https://directory.fortsask.ca/Home/View/the-fort-gaming-and-collectibles ; https://www.waze.com/live-map/directions/ca/ab/fort-saskatchewan/the-fort-board-games-and-card-games
d-c-s-collectibles-whitecourt,expansion-ab-nt-nu.md,high,https://www.whitecourtchamber.com/members/listing/dcs-collectibles/ ; https://www.yellowpages.ca/bus/Alberta/Whitecourt/D-C-s-Collectibles/102713722.html
stettler-game-corner-stettler,expansion-ab-nt-nu.md,medium,https://fabtcg.com/locator/stettler-game-corner/
wizard-s-loft-red-deer,expansion-ab-nt-nu.md,medium,https://locator.wizards.com/store/9051 ; https://www.yellowpages.ca/bus/Alberta/Red-Deer/Wizards-Loft/102461951.html
hockey-central-sports-memorabilia-inc-sylvan-lake,expansion-ab-nt-nu.md,medium,https://www.alberta-local.ca/biz/4616/hockey-central-sports-memorabilia-inc
yellow-shirt-relics-sylvan-lake,expansion-ab-nt-nu.md,low,https://yellowshirtrelics.com/contact/
level-x-cards-and-collectibles-grande-prairie,expansion-ab-nt-nu.md,low,https://levelxcards.com/ ; https://www.facebook.com/levelxcards/
one-man-s-treasure-stony-plain,expansion-ab-nt-nu.md,low,https://www.yelp.ca/biz/one-mans-treasure-stony-plain ; https://www.facebook.com/onemanstreasurestonyplain/
merchant-s-shop-la-shop-du-marchand-merchant-s-inventory-bathurst,expansion-atlantic.md,high,https://merchantsinventory.ca/ ; https://www.facebook.com/merchantsinventory/ ; https://thermalwoodcanada.com/report/the-merchants-shop-a-haven-for-card-collectors-and-gamers/
gamezilla-bathurst-bathurst,expansion-atlantic.md,high,https://gamezilla.ca/ ; https://www.yellowpages.ca/bus/New-Brunswick/Bathurst/GameZilla/4408791.html ; https://www.canpages.ca/page/NB/bathurst/gamezilla/4408791
gamezilla-saint-john-saint-john,expansion-atlantic.md,high,https://gamezilla.ca/pages/contact-us ; http://acyts.weebly.com/store-locations.html
gamezilla-fredericton-fredericton,expansion-atlantic.md,high,https://gamezilla.ca/ ; http://acyts.weebly.com/store-locations.html
