Cooper's Cabin,Truro,"98 Esplanade Street, Truro, NS B2N 2K3",,,(902) 843-0771,,facebook.com/CoopersCabin,Sells,Magic;Pokemon;Other,45.36272,-63.27608
"Lost Realms Games, Collectibles and Comics",Antigonish,"17-19 James Street, Antigonish, NS B2G 1R6",,,(902) 867-1794,lost-realms-games-collectibles-and-comics.wheree.com,facebook.com/RealmsLost,Sells,Magic;Other,45.61570,-62.00217
Sports Card Fan-Attic,Truro (Upper Brookside area),"address uncertain — 439 Mtn Lee Rd per one directory, ""Upper Brookside NS"" per another",,,(902) 895-1961,,,Sells,Other,45.39865,-63.24113
Champs Trading Cards and Collectibles,Riverview,"708B Coverdale Rd Unit B, Riverview, NB E1B 3L1",,,(506) 204-0554,,"Facebook: ""Champs Trading Cards and Collectibles \","Riverview NB""",Sells,46.06137,-64.81442
Card Fanatic,Riverview,"205 Blythwood Ave, Riverview, NB E1B 2G7",,,506-381-1625,,,Sells,Other,46.06303,-64.80142
Analog Adventures,Miramichi,"1753 Water St, Miramichi, NB E1N 1B2",,,,analogadventures.ca,,Sells,Magic;Other,47.03017,-65.47018
F & P Cards & Collectables Inc,Woodstock (Upper Woodstock),"1061 Route 103, Upper Woodstock, NB E7M 3C4",,,(506) 328-9754,,,Sells,Other,46.17465,-67.57417
Tantramar Tobacco & Sports Cards,Sackville,"87 Main St, Sackville, NB E4L 4A9",,,(506) 536-1244,,,Sells,Other,45.89704,-64.36822
Collector's Paradise of Canada,Souris,address not found,,,,collectorsparadisecanada.square.site,Instagram @collectorsparadiseofcanada; X @collectorcanada,Sells,Other,46.35195,-62.24581
Noble Miniatures and Collectable Card Games,Paradise,"1521 Topsail Rd, Paradise, NL A1L 1R2",,,,,facebook.com/Nobleminiatures,Sells,Magic;Other,47.53149,-52.86252
Ralf's Collectibles,Qualicum Beach,"211 W 2nd Ave #2, Qualicum Beach, BC V9K 2S5",,,250-937-7200,,,Sells,Pokemon;Other,49.34728,-124.44804
Vernon Sports Cards,Vernon,"106-3334 30 Ave, Vernon, BC V1T 2C8",,,250-541-0251,,,Sells,Other,50.26356,-119.27669
Cards And Toys Lindsay Ontario (inside Toms Variety Store),Lindsay (Kawartha Lakes),"c/o Toms Variety Store, Lindsay, ON (exact unit not confirmed)",,,,,instagram.com/cardsandtoyslindsayon,Sells,Hockey;Basketball;Baseball;Pokemon,44.37143,-78.74205
Crafts N' Things Hobbies & Games,Parry Sound,"Parry Sound, ON (exact address not confirmed)",,,,,,Sells,Other,45.33826,-80.02133
Elite Comics & Cards,Bradford,"Bradford, ON (exact address not confirmed)",,,,,facebook.com/EliteCollectablesSportsCards/,Buys;Sells,Hockey;Baseball;Basketball,44.11429,-79.56475
Arkain Hobbies & Games,Ingersoll,"11 King St W, Ingersoll, ON N5C 2J2",,,,arkain.games,,Sells,Magic;Other,43.03747,-80.88259
LSOH Breaks (Little Shop of Heroes),Listowel,"Listowel, ON (exact address not confirmed)",,,,,facebook.com/littleshopofheroesbreaks/,Sells;Breaks,Other,43.73156,-80.95314
BOB'S COINS,Timmins,"Timmins, ON (exact address not confirmed)",,,,,,Sells,Other,48.47611,-81.32954
Grateful Breaks Card Co,Smiths Falls,"1281 Ford Rd, Smiths Falls, ON K7A 4S7",,,343-961-3344,,,Buys;Sells;Breaks,Other,45.00241,-76.09100
Bonus Box Games,Fergus,"Fergus, ON (exact address not confirmed)",,,,,,Sells,Other,43.70586,-80.37788
Dundas Valley Hobby,Dundas,"Dundas, ON (exact address not confirmed)",,,,,,Sells,Other,43.53635,-80.22355
Hockey Card Depot,Bowmanville,"12 Campling Crt, Bowmanville, ON L1C 4M6",,,(647) 891-2439,,,Buys;Sells,Hockey,43.92551,-78.68019
Geek N' Things,Wallaceburg,"Wallaceburg, ON (exact address not confirmed)",,,,,,Sells,Magic;Pokemon;Other,42.59281,-82.38844
Rick's Gift Center,Ponoka,"5010 46 Ave, Ponoka, AB T4J 1J5",,,,,,Sells;Sells Wax,Other,52.67324,-113.57918
Wade's Sports Cards & Collectibles,St. Paul,"Box 1, Saint Paul, AB (PO Box only — no street address found)",,,,,https://www.facebook.com/people/Wades-Sports-Cards-Collectibles/61552995191160/,Buys;Sells;Trades Singles,Other,53.99136,-111.29706
Rare Gems Edson,Edson,"306-50 St, Edson, AB",,,,,https://www.facebook.com/61572938927206/,Sells,Other,53.58252,-116.43204
Monster Hobbies,High River,"Bay #1, 127 3rd Ave SW, High River, AB",,,403-652-5019,https://www.monster-hobbies.ca,,Sells,Other,51.19129,-114.47026
Wainwright Sports Cards & Memorabilia,Wainwright,"1304 1st Avenue, Wainwright, AB",,,,,https://www.facebook.com/61556309001913/,Buys;Sells,Other,51.09555,-115.35402
Dbk Cards & Collectables,Nipawin,"(no street address found), Nipawin, SK S0E 1E0",,,306-862-2509,,,Sells,Other,53.36241,-104.01710
Unique Edge Sports Cards & Collectibles,North Battleford,(no street address found),,,,,,Sells,Hockey;Baseball;Basketball;Football;Other,52.77337,-108.29906
Rossco Sports Cards & Collectibles,Stonewall,(no street address found),,,,,,Sells,Other,49.01527,-97.18259
