782 Sports Cards,Dartmouth,"169 Main St, Dartmouth, NS B2X 1S1",,,(902) 435-8154,,facebook.com/profile.php?id=100088317022071,Buys;Sells,Hockey;Baseball;Basketball;Football;Pokemon;Other,44.68292,-63.53609
Cooper's Cabin,Truro,"98 Esplanade Street, Truro, NS B2N 2K3",,,(902) 843-0771,,facebook.com/CoopersCabin,Sells,Magic;Pokemon;Other,45.36272,-63.27608
Elsewhere Gaming & Hobbies,New Minas,"8785 Commercial St, New Minas, NS B4N 3C4",,,(902) 365-6789,,facebook.com/ELSEWHEREGAMING,Sells,Pokemon;Other,45.07084,-64.47204
"Lost Realms Games, Collectibles and Comics",Antigonish,"17-19 James Street, Antigonish, NS B2G 1R6",,,(902) 867-1794,lost-realms-games-collectibles-and-comics.wheree.com,facebook.com/RealmsLost,Sells,Magic;Other,45.61570,-62.00217
Sports Card Fan-Attic,Truro (Upper Brookside area),"address uncertain — 439 Mtn Lee Rd per one directory, ""Upper Brookside NS"" per another",,,(902) 895-1961,,,Sells,Other,45.39865,-63.24113
Champs Trading Cards and Collectibles,Riverview,"708B Coverdale Rd Unit B, Riverview, NB E1B 3L1",,,(506) 204-0554,,"Facebook: ""Champs Trading Cards and Collectibles \","Riverview NB""",Sells,46.06137,-64.81442
Card Fanatic,Riverview,"205 Blythwood Ave, Riverview, NB E1B 2G7",,,506-381-1625,,,Sells,Other,46.06303,-64.80142
Castle Vania Sports Cards,Miramichi,"181 School Street, Miramichi, NB E1V 2W2",,,(506) 622-1936,,,Sells,Other,46.99764,-65.56986
Analog Adventures,Miramichi,"1753 Water St, Miramichi, NB E1N 1B2",,,,analogadventures.ca,,Sells,Magic;Other,47.03017,-65.47018
F & P Cards & Collectables Inc,Woodstock (Upper Woodstock),"1061 Route 103, Upper Woodstock, NB E7M 3C4",,,(506) 328-9754,,,Sells,Other,46.17465,-67.57417
Moncton Sports Cards,Moncton,"1230 Shediac Road, Moncton, NB E1A 7A7",,,(506) 855-6661,,,Sells,Other,46.11901,-64.71445
Tantramar Tobacco & Sports Cards,Sackville,"87 Main St, Sackville, NB E4L 4A9",,,(506) 536-1244,,,Sells,Other,45.89704,-64.36822
Vortex Games,Sackville,"87 Main St, Sackville, NB",,,,vortexgames.ca,facebook.com (Vortex Games),Sells;Trades Singles,Magic,45.89704,-64.36822
Boutique de cartes sportives L'as de coeur,Caraquet,"149 Boulevard St-Pierre Ouest, Caraquet, NB E1W 1B6",,,(819) 923-2695,,facebook.com/bdcsladc,Sells,Other,47.79102,-64.95479
Shock Spring,Stratford,"14 Kinlock Road Unit #4, Stratford, PE C1B 0G6",,,(782) 377-6581,shockspring.com,facebook.com/shockspringpei,Sells;Trades Singles,Magic;Other,46.22066,-63.08665
Sherwood Sports Cards,Charlottetown,"161 St. Peters Rd, Charlottetown, PE C1A 5P7",,,(902) 629-1842,,,Sells,Other,46.26125,-63.11868
Collector's Paradise of Canada,Souris,address not found,,,,collectorsparadisecanada.square.site,Instagram @collectorsparadiseofcanada; X @collectorcanada,Sells,Other,46.35195,-62.24581
Goliath Cards and Collectibles,Gander,"92 Elizabeth Drive, Gander, NL",,,,,facebook.com/61583100753133,Sells,Magic;Pokemon;Other,48.95501,-54.60972
Bay Breakers,Happy Valley-Goose Bay,"9 Ikey St, Happy Valley-Goose Bay, NL A0P 1C0",,,709-899-1102,,Instagram @baybreakerscards,Sells,Other,53.30684,-60.33826
Noble Miniatures and Collectable Card Games,Paradise,"1521 Topsail Rd, Paradise, NL A1L 1R2",,,,,facebook.com/Nobleminiatures,Sells,Magic;Other,47.53149,-52.86252
SN Hobbies,New Westminster,"814 12th St, New Westminster, BC V3M 4K1",,,778-397-1075,https://www.snhobbies.com/,,Sells,Pokemon,49.21112,-122.93495
T&N Games (Royal City Centre),New Westminster,"610 6th St Unit #118, New Westminster, BC V3L 3C2",,,604-515-7411,http://www.tngames.ca/,,Sells,Pokemon;Magic,49.21322,-122.92044
Go Go Hobbies,Coquitlam,"2124 Austin Ave, Coquitlam, BC V3K 3R8",,,604-492-0303,http://www.gogohobbies.ca/,https://www.facebook.com/gogohobbies,Sells,Pokemon;Other,49.24880,-122.83615
Blue Moon Collectables,Delta (Ladner),"4926 Delta St, Ladner, BC V4K 2V2",,,604-273-0907,https://www.bluemooncollectables.com/,,Sells,Pokemon;Other,49.09253,-123.08687
Nerd Feeder,Delta (Ladner),"4962 Bridge St, Delta, BC V4K 2K1",,,604-710-2739,http://nerdfeeder.ca/,https://www.facebook.com/nerdfeeder,Sells,Pokemon;Magic;Other,49.09064,-123.08601
Ralf's Collectibles,Qualicum Beach,"211 W 2nd Ave #2, Qualicum Beach, BC V9K 2S5",,,250-937-7200,,,Sells,Pokemon;Other,49.34728,-124.44804
Sonny's Collectables,Terrace,"4736 Lakelse Ave Unit #7, Terrace, BC V8G 1R6",,,250-638-7788,,https://www.facebook.com/sonnyscollectables/,Sells,Pokemon,54.51751,-128.59509
K&B Hobbies and Games,Vernon,"8106 Highland Pl, Vernon, BC V1B 3W6",,,250-540-4163,https://www.kbhobbies.com/,,Sells,Pokemon,50.33684,-119.24552
Obsidian Games,Vernon,"2520 53 Ave #302, Vernon, BC V1T 9W8",,,250-503-0047,https://obsidiangames.ca/,,Sells;Trade Nights,Pokemon;Magic;Other,50.28502,-119.26578
Vernon Sports Cards,Vernon,"106-3334 30 Ave, Vernon, BC V1T 2C8",,,250-541-0251,,,Sells,Other,50.26356,-119.27669
Nerdz Gaming Inc (Nerdz Cafe),Woodstock,"365 Dundas St N, Woodstock, ON N4S 1B6",,,,nerdzgaming.com,facebook.com/nerdzgamecafe/,Sells;Trade Nights,Magic;Other,43.12964,-80.76155
Scenic City Game Emporium,Owen Sound,"807 2nd Ave E, Owen Sound, ON N4K 2H2",,,519-416-1230,sceniccitygameemporium.com,,Sells,Pokemon;Magic;Other,44.56394,-80.94241
Bootown's Games And Hobbies,Stratford,"165 Downie St Unit #3, Stratford, ON N5A 1X2",,,226-210-xxxx (partial),,facebook.com/bootownsgamesandhobbies/,Sells,Magic;Pokemon;Other,43.36790,-80.98033
Instant Replay SportsCards,Cobourg,"160 University Ave W, Cobourg, ON K9A 2H2",,,905-396-1035,,,Buys;Sells,Other,43.96290,-78.17397
Cards And Toys Lindsay Ontario (inside Toms Variety Store),Lindsay (Kawartha Lakes),"c/o Toms Variety Store, Lindsay, ON (exact unit not confirmed)",,,,,instagram.com/cardsandtoyslindsayon,Sells,Hockey;Basketball;Baseball;Pokemon,44.37143,-78.74205
Crafts N' Things Hobbies & Games,Parry Sound,"Parry Sound, ON (exact address not confirmed)",,,,,,Sells,Other,45.33826,-80.02133
Brackenberries PvP,Alliston (New Tecumseth),"103 Victoria Street West Unit 2 (upstairs), Alliston, ON L9R 1T5",,,(705) 530-9606,brackenberries.com,facebook.com/Brackenberries/,Sells,Magic;Pokemon;Other,44.15312,-79.87239
Elite Comics & Cards,Bradford,"Bradford, ON (exact address not confirmed)",,,,,facebook.com/EliteCollectablesSportsCards/,Buys;Sells,Hockey;Baseball;Basketball,44.11429,-79.56475
