Next Level Games and Collectibles,Summerside,"251 Water St Unit E, Summerside, PE C1N 1B5",,,(902) 436-4263,,,Buys;Sells;Trades Singles;Grading Services;Sells Wax,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other,46.39171,-63.79050
Rain City Games (New Westminster),New Westminster,"106-810 Quayside Dr, New West River Market, New Westminster, BC V3M 6B9",,,604-553-4425,https://www.raincity.games/,,Sells,Pokemon;Magic;Other,49.19915,-122.92005
Ebenezer's Comics & Collectibles,Vernon,"3110 29 Ave, Vernon, BC V1T 1Z1",,,250-542-0980,https://www.ebenezers.ca/,,Sells,Pokemon;Magic;Other,50.26287,-119.27325
Dave's Sportscard Shop,Cornwall,"812 Pitt St Unit #44, Cornwall, ON K6J 3S2",,,(613) 363-1102,www.nearmetcg.com/stores/daves-sportscard-shop,facebook.com/davessportscardshop/,Buys;Sells;Sells Wax,Hockey;Pokemon;Other,45.02763,-74.73430
Nutts Collectables,Woodstock,"563 Dundas Street, Woodstock, ON",,,(519) 537-3xxx (partial),,,Sells,Hockey;Other,43.13073,-80.75368
Rockets Sports Cards,Chatham (Chatham-Kent),"137 Queen Street, Chatham, ON",,,(519) 397-2608,www.nearmetcg.com/stores/rockets-sports-cards,facebook.com/rocketsest2010/,Buys;Sells;Sells Wax,Hockey;Pokemon;Magic;Other,42.40293,-82.18475
Stadium Sports Cards,Blenheim (Chatham-Kent),"170 Talbot St W Unit 1, Blenheim, ON N0P 1A0",,,(519) 676-0558,stadiumsportscards.ca,,Buys;Sells;Sells Wax,Hockey;Other,42.33144,-82.00053
The Den Hobby & Gifts,Stratford,"125 Downie St, Stratford, ON N5A 1X2",,,519-857-8155,shopstratford.ca/the-den__n5a-1x2__519-857-8155,facebook.com/TheDenStratford/,Sells,Hockey;Baseball;Basketball;Football;Pokemon;Magic,43.36883,-80.98087
Fantasy Forged: Cards and Collectibles,Orangeville,"113 Broadway Ave, Orangeville, ON L9W 1K2",,,519-261-1993,fantasyforged.ca,facebook.com/fantasyforgedgames/,Sells;Trades Singles,Magic;Pokemon;Other,43.92021,-80.09540
The Trading Card Store Lindsay,Lindsay (Kawartha Lakes),"370 Kent Street West, Lindsay, ON",,,,ttcslindsay.com,facebook.com/thetradingcardstorel/,Buys;Sells;Sells Wax,Hockey;Pokemon;Magic;Other,44.35121,-78.75800
Northern Sports Cards,Lindsay (Kawartha Lakes),"55 Mary Street West, Lindsay, ON",,,,nscards.ca,,Sells,Hockey;Pokemon;Magic;Other,44.34563,-78.73487
