slug,file,confidence,sources
782-sports-cards-dartmouth,fill-atlantic-smalltown.md,medium,https://www.nearmetcg.com/stores/782-sports-cards
cooper-s-cabin-truro,fill-atlantic-smalltown.md,"low — general hobby/comic/game shop; ""sports cards"" appears in one directory description but selection depth unverified",https://www.facebook.com/CoopersCabin/
elsewhere-gaming-hobbies-new-minas,fill-atlantic-smalltown.md,medium,https://www.facebook.com/ELSEWHEREGAMING/
lost-realms-games-collectibles-and-comics-antigonish,fill-atlantic-smalltown.md,"low — primarily a board-game/comics store; ""trading card games"" confirmed generically but dedicated sports-card stock unconfirmed",https://lost-realms-games-collectibles-and-comics.wheree.com
sports-card-fan-attic-truro-upper-brookside-area,fill-atlantic-smalltown.md,"low — listing traces to a business ""founded 1992""; conflicting address data and no evidence of current/active operation found; possibly closed","https://www.yelp.ca/biz/sports-card-fan-attic-truro (existence only, could not load page directly)"
champs-trading-cards-and-collectibles-riverview,fill-atlantic-smalltown.md,search-verified directory + Facebook listing (page not directly loadable),
card-fanatic-riverview,fill-atlantic-smalltown.md,"low — thin directory listing only, no website/social found to corroborate",Canada Chamber of Commerce business listing (accessed via search; direct URL not capturable)
pabi-s-collectibles-pabi-s-hobbies-collectibles-miramichi,fill-atlantic-smalltown.md,medium-high,https://mightymiramichi.com/business/PABIS-HOBBY-and-COLLECTIBLES/13174
castle-vania-sports-cards-miramichi,fill-atlantic-smalltown.md,medium,"directory listing (Yelp/MapQuest, referenced via search; est. 2002)"
analog-adventures-miramichi,fill-atlantic-smalltown.md,low — confirmed TCG (Magic) and general trading cards; dedicated sports-card stock not explicitly confirmed,https://analogadventures.ca
f-p-cards-collectables-inc-woodstock-upper-woodstock,fill-atlantic-smalltown.md,"low — generic ""cards and collectibles"" description, sports/TCG mix unconfirmed",MapQuest business listing (accessed via search)
moncton-sports-cards-moncton,fill-atlantic-smalltown.md,medium,MapQuest business listing (accessed via search)
tantramar-tobacco-sports-cards-sackville,fill-atlantic-smalltown.md,"low — shares the identical ""87 Main St"" address with Vortex Games (a separate, verified business) across directories; possible data conflation, could not independently confirm via a direct site/page visit",multiple directory listings (accessed via search)
vortex-games-sackville,fill-atlantic-smalltown.md,medium — confirmed MTG singles/FLGS; no sports cards or Pokemon evidence found,https://vortexgames.ca/pages/about-us
boutique-de-cartes-sportives-l-as-de-coeur-caraquet,fill-atlantic-smalltown.md,"medium — name itself (""sports card shop"") and FB page confirmed; phone area code (819, Quebec) is unusual for a Caraquet business, noted as a minor discrepancy not disqualifying",https://www.facebook.com/bdcsladc/
next-level-games-and-collectibles-summerside,fill-atlantic-smalltown.md,high,"directory listing describing ""sports cards, Pokémon, Magic and other trading cards, sealed wax, graded singles, PSA/BGS/SGC grading submission"" (accessed via search)"
shock-spring-stratford,fill-atlantic-smalltown.md,medium — confirmed trading-card/hobby retailer with trade-in program and card-show participation; sports-card breadth not itemized,https://shockspring.com
sherwood-sports-cards-charlottetown,fill-atlantic-smalltown.md,medium — same listing appears mis-attributed to Montague and Georgetown in different directories (likely SEO-duplicated listings); Charlottetown address used as the best-corroborated one,multiple independent directory listings agreeing on this address/phone (accessed via search)
collector-s-paradise-of-canada-souris,fill-atlantic-smalltown.md,"low — self-describes as an ""E-Commerce store"" though also called ""PEI's newest card and collectible shop"" on social media; unclear if there is a public walk-in storefront","Yelp listing (yelp.ca/biz/collectors-paradise-of-canada-souris, accessed via search)"
goliath-cards-and-collectibles-gander,fill-atlantic-smalltown.md,medium,https://www.facebook.com/61583100753133/
bay-breakers-happy-valley-goose-bay,fill-atlantic-smalltown.md,medium,Canada Chamber of Commerce business listing (accessed via search)
noble-miniatures-and-collectable-card-games-paradise,fill-atlantic-smalltown.md,"low — primarily a tabletop/miniatures/RPG store; ""collectable card games"" confirmed in listing but dedicated sports-card stock not confirmed",https://www.facebook.com/Nobleminiatures/
rain-city-games-new-westminster-new-westminster,fill-bc-smalltown.md,high,https://www.nearmetcg.com/stores/rain-city-games-in-new-westminster ; https://www.raincity.games/
sn-hobbies-new-westminster,fill-bc-smalltown.md,medium,https://www.nearmetcg.com/stores/sn-hobbies
t-n-games-royal-city-centre-new-westminster,fill-bc-smalltown.md,medium,https://www.nearmetcg.com/stores/t-and-n-games-royal-city-centre
go-go-hobbies-coquitlam,fill-bc-smalltown.md,medium,https://www.nearmetcg.com/stores/go-go-hobbies ; https://www.facebook.com/gogohobbies
blue-moon-collectables-delta-ladner,fill-bc-smalltown.md,medium,https://www.nearmetcg.com/stores/blue-moon-collectables ; https://www.bluemooncollectables.com/
nerd-feeder-delta-ladner,fill-bc-smalltown.md,medium,https://www.nearmetcg.com/stores/nerd-feeder
ralf-s-collectibles-qualicum-beach,fill-bc-smalltown.md,"low — single directory source only, no independent website/social found to corroborate; verify still operating",https://www.nearmetcg.com/stores/ralfs-collectibles
sonny-s-collectables-terrace,fill-bc-smalltown.md,medium,https://www.nearmetcg.com/stores/sonnys-collectables ; https://www.facebook.com/sonnyscollectables/
ebenezer-s-comics-collectibles-vernon,fill-bc-smalltown.md,high,https://www.nearmetcg.com/stores/ebenezers-comics-and-collectibles ; https://www.ebenezers.ca/
k-b-hobbies-and-games-vernon,fill-bc-smalltown.md,medium,https://www.nearmetcg.com/stores/k-and-b-hobbies-and-games
