Country,Clicks,Impressions,CTR,Position
Canada,79.0,9915.0,0.008,10.44
United States,0.0,161.0,0.0,10.42
Philippines,0.0,23.0,0.0,26.04
Turkey,0.0,21.0,0.0,26.05
Jordan,0.0,18.0,0.0,32.44
Vietnam,0.0,16.0,0.0,26.06
India,0.0,15.0,0.0,20.87
Russia,0.0,15.0,0.0,24.33
Mexico,0.0,15.0,0.0,30.4
Algeria,0.0,14.0,0.0,22.86
Morocco,0.0,13.0,0.0,19.54
Indonesia,0.0,13.0,0.0,24.0
Thailand,0.0,13.0,0.0,26.54
United Kingdom,0.0,12.0,0.0,21.17
Malaysia,0.0,12.0,0.0,26.58
Spain,0.0,10.0,0.0,21.1
France,0.0,7.0,0.0,22.0
Pakistan,0.0,7.0,0.0,22.43
Ukraine,0.0,7.0,0.0,24.86
Bangladesh,0.0,7.0,0.0,27.71
New Zealand,0.0,4.0,0.0,9.0
Saudi Arabia,0.0,4.0,0.0,28.5
Italy,0.0,3.0,0.0,8.67
United Arab Emirates,0.0,3.0,0.0,9.0
Germany,0.0,2.0,0.0,5.5
Japan,0.0,2.0,0.0,7.5
Netherlands,0.0,2.0,0.0,8.5
Hong Kong,0.0,2.0,0.0,9.0
Egypt,0.0,2.0,0.0,10.0
Nigeria,0.0,2.0,0.0,10.5
Singapore,0.0,2.0,0.0,10.5
Finland,0.0,2.0,0.0,11.0
South Korea,0.0,2.0,0.0,15.5
China,0.0,1.0,0.0,6.0
Kuwait,0.0,1.0,0.0,8.0
Peru,0.0,1.0,0.0,9.0
Albania,0.0,1.0,0.0,10.0
Trinidad & Tobago,0.0,1.0,0.0,10.0
Argentina,0.0,1.0,0.0,11.0
Switzerland,0.0,1.0,0.0,12.0
Nicaragua,0.0,1.0,0.0,12.0
Sweden,0.0,1.0,0.0,12.0
U.S. Virgin Islands,0.0,1.0,0.0,12.0
Denmark,0.0,1.0,0.0,13.0
Iraq,0.0,1.0,0.0,24.0
