Top pages,Clicks,Impressions,CTR,Position
https://sportscardsnearme.ca/shows/maritime-collectible-expo-moncton-2026-08-09/,4.0,82.0,0.048799999999999996,8.48
https://sportscardsnearme.ca/guides/card-grading-companies-canada/,3.0,207.0,0.014499999999999999,16.47
https://sportscardsnearme.ca/nova-scotia/,3.0,49.0,0.061200000000000004,10.47
https://sportscardsnearme.ca/ontario/toronto/,2.0,150.0,0.013300000000000001,12.75
https://sportscardsnearme.ca/new-brunswick/,2.0,63.0,0.0317,6.52
https://sportscardsnearme.ca/store/dolly-s-cards-collectibles-waterloo-waterloo/,2.0,52.0,0.0385,5.04
https://sportscardsnearme.ca/shows/capital-trade-shows-card-comic-show-ottawa-2026-08-09/,2.0,27.0,0.0741,6.3
https://sportscardsnearme.ca/shows/capital-trade-shows-pokemon-show-ottawa-2026-08-16/,2.0,18.0,0.11109999999999999,30.22
https://sportscardsnearme.ca/store/pokanada-sealed-pokemon-section-inside-pharmacy-london/,2.0,15.0,0.1333,9.07
https://sportscardsnearme.ca/store/b-t-sportscards-gaming-bathurst/,2.0,11.0,0.1818,5.82
https://sportscardsnearme.ca/store/cartes-champions-anjou-montreal/,2.0,3.0,0.6667000000000001,3.0
https://sportscardsnearme.ca/guides/psa-grading-mississauga/,1.0,136.0,0.0074,10.45
https://sportscardsnearme.ca/store/loot-kingdom-barrie/,1.0,132.0,0.0076,9.18
https://sportscardsnearme.ca/ontario/ottawa/,1.0,127.0,0.0079,17.57
https://sportscardsnearme.ca/store/digital-oasis-windsor/,1.0,83.0,0.012,8.66
https://sportscardsnearme.ca/store/retro-relics-greater-sudbury/,1.0,81.0,0.0123,6.42
https://sportscardsnearme.ca/store/onyx-cards-games-collingwood/,1.0,81.0,0.0123,8.69
https://sportscardsnearme.ca/prince-edward-island/charlottetown/,1.0,73.0,0.0137,7.63
https://sportscardsnearme.ca/ontario/mississauga/,1.0,71.0,0.0141,23.04
https://sportscardsnearme.ca/store/ea-collectibles-london/,1.0,69.0,0.014499999999999999,11.01
https://sportscardsnearme.ca/ontario/markham/,1.0,52.0,0.0192,8.54
https://sportscardsnearme.ca/store/vulcan-collectibles-ottawa/,1.0,50.0,0.02,6.56
https://sportscardsnearme.ca/ontario/vaughan/,1.0,48.0,0.0208,12.42
https://sportscardsnearme.ca/alberta/edmonton/,1.0,40.0,0.025,14.9
https://sportscardsnearme.ca/store/a-spec-cards-inc-milton/,1.0,39.0,0.0256,7.03
https://sportscardsnearme.ca/store/rainbow-s-end-book-and-discs-wolfville/,1.0,39.0,0.0256,8.46
https://sportscardsnearme.ca/ontario/greater-sudbury/,1.0,39.0,0.0256,22.51
https://sportscardsnearme.ca/store/the-fort-board-games-and-card-games-the-fort-gaming-collectibles-fort-saskatchewan/,1.0,36.0,0.0278,8.69
https://sportscardsnearme.ca/store/babs-gaming-and-sports-cards-inc-lloydminster/,1.0,34.0,0.0294,10.35
https://sportscardsnearme.ca/store/stettler-game-corner-stettler/,1.0,30.0,0.0333,6.4
https://sportscardsnearme.ca/shows/sport-card-memorabilia-expo-montreal-laval-2026-09-25/,1.0,30.0,0.0333,10.9
https://sportscardsnearme.ca/store/beyond-the-pond-sports-cards-and-collectables-london/,1.0,24.0,0.0417,5.75
https://sportscardsnearme.ca/store/gameshq-aka-the-trading-card-store-port-perry-port-perry/,1.0,20.0,0.05,8.15
https://sportscardsnearme.ca/,1.0,20.0,0.05,25.95
https://sportscardsnearme.ca/store/hobby-sport-iles-de-la-madeleine-l-etang-du-nord/,1.0,19.0,0.0526,4.58
https://sportscardsnearme.ca/store/backmandy-collectibles-charlottetown/,1.0,18.0,0.0556,8.11
https://sportscardsnearme.ca/store/toybox-trading-co-vaughan/,1.0,17.0,0.0588,8.47
https://sportscardsnearme.ca/alberta/stettler/,1.0,17.0,0.0588,10.29
https://sportscardsnearme.ca/store/gifted-rookies-charlottetown/,1.0,16.0,0.0625,8.0
https://sportscardsnearme.ca/store/782-sports-cards-dartmouth/,1.0,15.0,0.0667,2.33
https://sportscardsnearme.ca/store/kootenay-sports-cards-collectables-cranbrook/,1.0,14.0,0.07139999999999999,6.5
https://sportscardsnearme.ca/store/soul-tcg-ottawa/,1.0,14.0,0.07139999999999999,8.0
https://sportscardsnearme.ca/store/diadem-cards-hobbies-greater-sudbury/,1.0,13.0,0.07690000000000001,8.0
https://sportscardsnearme.ca/alberta/fort-mcmurray/,1.0,13.0,0.07690000000000001,9.54
https://sportscardsnearme.ca/store/flip-collectibles-shop-vaughan/,1.0,12.0,0.0833,7.42
https://sportscardsnearme.ca/sell/london/,1.0,12.0,0.0833,14.83
https://sportscardsnearme.ca/shows/quebec-2026/,1.0,11.0,0.0909,4.18
https://sportscardsnearme.ca/store/tailgate-mercantile-co-okotoks/,1.0,10.0,0.1,6.1
https://sportscardsnearme.ca/quebec/sherbrooke/,1.0,10.0,0.1,21.1
https://sportscardsnearme.ca/store/camrosenextgen-gaming-camrose/,1.0,9.0,0.11109999999999999,3.89
https://sportscardsnearme.ca/ontario/ajax/,1.0,8.0,0.125,8.75
https://sportscardsnearme.ca/store/capital-city-sports-cards-edmonton/,1.0,8.0,0.125,15.5
https://sportscardsnearme.ca/alberta/okotoks/,1.0,7.0,0.1429,2.71
https://sportscardsnearme.ca/pokemon/trois-rivieres/,1.0,6.0,0.16670000000000001,8.33
https://sportscardsnearme.ca/quebec/jonquiere-saguenay/,1.0,6.0,0.16670000000000001,8.83
https://sportscardsnearme.ca/sell/oshawa/,1.0,6.0,0.16670000000000001,11.83
https://sportscardsnearme.ca/store/collectible-card-caddy-okotoks/,1.0,4.0,0.25,4.25
https://sportscardsnearme.ca/manitoba/steinbach/,1.0,4.0,0.25,5.0
https://sportscardsnearme.ca/sell/kelowna/,1.0,4.0,0.25,9.25
https://sportscardsnearme.ca/alberta/chestermere/,1.0,4.0,0.25,29.5
https://sportscardsnearme.ca/store/le-coin-du-jouet-mont-tremblant/,1.0,3.0,0.3333,8.67
https://sportscardsnearme.ca/pokemon/carleton-place/,1.0,2.0,0.5,12.0
https://sportscardsnearme.ca/quebec/roberval/,1.0,1.0,1.0,6.0
https://sportscardsnearme.ca/store/librairie-alpha-gaspe/,1.0,1.0,1.0,6.0
https://sportscardsnearme.ca/store/total-sports-cards-collectibles-etobicoke/,0.0,253.0,0.0,7.4
https://sportscardsnearme.ca/ontario/london/,0.0,190.0,0.0,8.11
https://sportscardsnearme.ca/store/rookies-sports-cards-collectibles-hamilton/,0.0,151.0,0.0,10.22
https://sportscardsnearme.ca/store/strictly-singles-sports-cards-halifax/,0.0,101.0,0.0,10.61
https://sportscardsnearme.ca/store/hope-club-collectibles-sports-cards-and-trading-card-games-toronto/,0.0,97.0,0.0,7.7
