Top queries,Clicks,Impressions,CTR,Position
sports cards near me,2.0,49.0,0.0408,10.35
pokanada,2.0,9.0,0.22219999999999998,6.11
card shops near me,1.0,98.0,0.0102,10.3
loot kingdom,1.0,88.0,0.011399999999999999,6.69
retro relics,1.0,50.0,0.02,5.28
digital oasis,1.0,50.0,0.02,8.84
card stores near me,1.0,39.0,0.0256,12.08
toybox trading co,1.0,14.0,0.07139999999999999,8.5
beyond the pond,1.0,10.0,0.1,5.7
card show québec 2026,1.0,9.0,0.11109999999999999,4.22
basketball cards near me,1.0,8.0,0.125,10.88
dolly's cards and collectibles waterloo,1.0,7.0,0.1429,4.0
gifted rookies,1.0,7.0,0.1429,8.14
sell sports cards near me,1.0,6.0,0.16670000000000001,13.67
onyx cards,1.0,2.0,0.5,5.0
sport cards stores near me,1.0,2.0,0.5,7.0
diadem cards & hobbies reviews,1.0,2.0,0.5,9.5
lloydminster card shop,1.0,2.0,0.5,10.0
places that buy sports cards near me,1.0,1.0,1.0,2.0
edmonton sports card stores,1.0,1.0,1.0,29.0
sports card stores toronto,1.0,1.0,1.0,35.0
total sports cards,0.0,195.0,0.0,7.04
card cycle london,0.0,97.0,0.0,6.81
sports card stores near me,0.0,80.0,0.0,9.32
sports card shops near me,0.0,69.0,0.0,12.62
mana vault saskatoon,0.0,61.0,0.0,7.26
strictly singles,0.0,56.0,0.0,9.27
colossal cards,0.0,51.0,0.0,7.33
dragon world card games & collectibles reviews,0.0,47.0,0.0,8.23
card store near me,0.0,47.0,0.0,9.47
onyx cards and games,0.0,47.0,0.0,10.38
card shop near me,0.0,45.0,0.0,6.58
vulcan collectibles,0.0,40.0,0.0,6.55
tabletop renaissance,0.0,36.0,0.0,8.03
hope collectibles,0.0,35.0,0.0,7.49
royalty cards,0.0,30.0,0.0,7.37
games nook,0.0,30.0,0.0,9.47
outpost sports cards and games reviews,0.0,29.0,0.0,7.03
cardify toronto,0.0,29.0,0.0,8.55
ea collectibles reviews,0.0,29.0,0.0,11.0
gamezilla saint john,0.0,28.0,0.0,7.96
comic readers medicine hat,0.0,28.0,0.0,10.25
sports card store near me,0.0,27.0,0.0,8.37
dollys waterloo,0.0,26.0,0.0,4.85
kingston card den,0.0,26.0,0.0,8.81
eclipse games,0.0,25.0,0.0,6.48
kanto kreations,0.0,25.0,0.0,7.04
heavens collectibles,0.0,25.0,0.0,9.4
untouchables milton,0.0,24.0,0.0,9.38
aex moncton 2026,0.0,23.0,0.0,6.52
stakk st eustache,0.0,23.0,0.0,8.13
true gem sports collectibles,0.0,22.0,0.0,7.68
retro relics chelmsford,0.0,22.0,0.0,8.77
celly sports,0.0,21.0,0.0,6.86
boreal gaming,0.0,21.0,0.0,7.05
d&m sports,0.0,21.0,0.0,7.48
andys card shop,0.0,21.0,0.0,7.67
duck duck games and collectibles,0.0,21.0,0.0,9.67
rookies sports cards,0.0,20.0,0.0,7.85
skafs express,0.0,20.0,0.0,8.05
inner hero collectibles,0.0,20.0,0.0,8.3
dd sports vaughan,0.0,19.0,0.0,7.26
m4 sports cards and collectibles reviews,0.0,19.0,0.0,7.89
hope club collectibles reviews,0.0,19.0,0.0,9.26
f and c house of cards,0.0,19.0,0.0,9.47
elsewhere gaming,0.0,19.0,0.0,9.68
maritime collectible expo,0.0,19.0,0.0,9.79
rookies hamilton,0.0,19.0,0.0,10.16
imaginaire chicoutimi,0.0,19.0,0.0,12.05
mb cartes,0.0,18.0,0.0,8.06
cardboard hero fredericton,0.0,18.0,0.0,9.0
all in sports den,0.0,18.0,0.0,9.22
le coin de la carte sportive,0.0,18.0,0.0,10.22
ea collectibles,0.0,18.0,0.0,10.61
imaginaire pointe claire reviews,0.0,17.0,0.0,8.24
box of cards barrie,0.0,17.0,0.0,9.06
total sports cards & collectibles,0.0,17.0,0.0,10.06
gatorbyte yarmouth,0.0,17.0,0.0,10.35
m4 cards,0.0,16.0,0.0,8.31
rainbows end wolfville,0.0,16.0,0.0,8.94
village des heros,0.0,16.0,0.0,10.31
baseball card stores near me,0.0,16.0,0.0,16.5
docs hobby shop,0.0,15.0,0.0,6.13
aex moncton,0.0,15.0,0.0,7.0
zone collection st jean,0.0,15.0,0.0,8.13
sport card stores near me,0.0,15.0,0.0,9.13
inner hero collectables,0.0,15.0,0.0,9.6
treasures n more,0.0,15.0,0.0,10.8
kanzen games sports & collectibles reviews,0.0,15.0,0.0,11.67
kaboom hobby,0.0,14.0,0.0,6.21
lets play thunder bay,0.0,14.0,0.0,8.14
ppag cards,0.0,14.0,0.0,8.14
goalline sports cards,0.0,14.0,0.0,8.29
digital oasis windsor,0.0,14.0,0.0,8.64
premium sports cards reviews,0.0,14.0,0.0,10.21
rookies sports cards and collectibles reviews,0.0,14.0,0.0,10.21
baseball cards near me,0.0,14.0,0.0,27.29
goal line sports,0.0,13.0,0.0,5.15
pastime guildford,0.0,13.0,0.0,5.54
nekos car wash,0.0,13.0,0.0,6.69
d&m sports halifax,0.0,13.0,0.0,6.85
skaf express,0.0,13.0,0.0,6.85
fan of the sport,0.0,13.0,0.0,7.23
merchants shop,0.0,13.0,0.0,8.31
stettler game corner,0.0,13.0,0.0,8.54
a spec cards,0.0,13.0,0.0,9.08
paradoxtcg reviews,0.0,13.0,0.0,11.31
sports memorabilia stores near me,0.0,13.0,0.0,12.77
card cycle hours,0.0,12.0,0.0,6.25
pastime sports guildford,0.0,12.0,0.0,6.5
la carte cachée,0.0,12.0,0.0,8.25
nekos thompson,0.0,12.0,0.0,8.5
baseball card shops near me,0.0,12.0,0.0,9.17
sports card shop near me,0.0,12.0,0.0,9.42
rookies card shop,0.0,12.0,0.0,9.67
sportsworld collectibles,0.0,11.0,0.0,6.36
card rack,0.0,11.0,0.0,6.91
medicine hat card shop,0.0,11.0,0.0,7.0
andys sports cards,0.0,11.0,0.0,7.45
gateway cards,0.0,11.0,0.0,7.82
hopeclub,0.0,11.0,0.0,7.82
the hobby spot reviews,0.0,11.0,0.0,8.0
kadoone reviews,0.0,11.0,0.0,8.09
loot kingdom barrie,0.0,11.0,0.0,8.09
west's sports cards,0.0,11.0,0.0,8.27
the hobby spot leduc,0.0,11.0,0.0,8.55
maximum cards & collectibles,0.0,11.0,0.0,10.18
stakk cards,0.0,10.0,0.0,6.4
players cards,0.0,10.0,0.0,7.0
tabletop renaissance games & hobbies,0.0,10.0,0.0,7.2
eastridge sports cards & games reviews,0.0,10.0,0.0,7.5
bocado la sarre,0.0,10.0,0.0,7.6
henry's hut,0.0,10.0,0.0,7.7
west's sports cards reviews,0.0,10.0,0.0,7.7
gatorbyte,0.0,10.0,0.0,10.2
video time barrie,0.0,10.0,0.0,10.2
books galore,0.0,10.0,0.0,10.6
merchant shop,0.0,10.0,0.0,10.9
pokemon cards near me,0.0,10.0,0.0,11.5
ultime sports collection,0.0,10.0,0.0,24.2
game vault kingston,0.0,9.0,0.0,5.67
pastime north vancouver,0.0,9.0,0.0,5.89
gamers emporium reviews,0.0,9.0,0.0,6.0
heaven's collectibles & tcg,0.0,9.0,0.0,6.56
backmandy,0.0,9.0,0.0,6.78
galactic trading post fort mcmurray,0.0,9.0,0.0,7.78
players cards and collectibles,0.0,9.0,0.0,8.0
carto puce,0.0,9.0,0.0,8.44
psa canada receiving centre,0.0,9.0,0.0,8.56
masterset co,0.0,9.0,0.0,8.67
daves card shop,0.0,9.0,0.0,8.89
out of the box ottawa,0.0,9.0,0.0,9.11
"9 ossington ave - toronto, on m6j 2y8",0.0,9.0,0.0,10.11
skies the limit,0.0,9.0,0.0,11.56
"7070 st barbara blvd unit 60-62, mississauga, on l5w 0e6",0.0,9.0,0.0,13.78
grading services,0.0,9.0,0.0,57.33
card palace,0.0,8.0,0.0,3.38
m4 sports cards,0.0,8.0,0.0,6.38
