Date,Clicks,Impressions,CTR,Position
2026-07-28,1,6,16.67%,18.3
2026-07-29,1,57,1.75%,12.7
2026-07-30,10,1049,0.95%,10.2
2026-07-31,24,2895,0.83%,10.6
2026-08-01,16,3139,0.51%,11.3
2026-08-02,9,1449,0.62%,11.2
2026-08-03,11,626,1.76%,10.8
2026-08-04,3,550,0.55%,9.8
2026-08-05,4,587,0.68%,9.4
2026-08-06,7,576,1.22%,9.9
2026-08-07,10,675,1.48%,9.1
2026-08-08,10,716,1.4%,8.6
2026-08-09,12,824,1.46%,9.8
2026-08-10,12,730,1.64%,9.9
2026-08-11,11,846,1.3%,9.9
2026-08-12,12,1464,0.82%,19.9
2026-08-13,11,1273,0.86%,11.2
2026-08-14,11,1106,0.99%,9.8
2026-08-15,27,886,3.05%,11.2
2026-08-16,12,844,1.42%,10.2
2026-08-17,16,904,1.77%,10
2026-08-18,17,907,1.87%,10
2026-08-19,19,821,2.31%,9.8
2026-08-20,12,897,1.34%,9.7
2026-08-21,12,966,1.24%,9.7
2026-08-22,18,1074,1.68%,9.2
2026-08-23,11,949,1.16%,8.6
2026-08-24,18,1020,1.76%,8.7
2026-08-25,20,972,2.06%,9.4
2026-08-26,10,988,1.01%,10.9
