Top pages,Clicks,Impressions,CTR,Position
https://sportscardsnearme.ca/shows/capital-trade-shows-pokemon-show-ottawa-2026-08-16/,18,218,8.26%,9.6
https://sportscardsnearme.ca/shows/capital-trade-shows-card-comic-show-ottawa-2026-08-09/,14,139,10.07%,10.96
https://sportscardsnearme.ca/ontario/london/,13,1582,0.82%,8.07
https://sportscardsnearme.ca/ontario/ottawa/,12,1315,0.91%,13.96
https://sportscardsnearme.ca/guides/card-grading-companies-canada/,12,1033,1.16%,15.51
https://sportscardsnearme.ca/ontario/toronto/,9,1359,0.66%,12.03
https://sportscardsnearme.ca/shows/maritime-collectible-expo-moncton-2026-08-09/,8,271,2.95%,9.01
https://sportscardsnearme.ca/new-brunswick/,8,253,3.16%,7.38
https://sportscardsnearme.ca/store/pokanada-sealed-pokemon-section-inside-pharmacy-london/,8,73,10.96%,5.07
https://sportscardsnearme.ca/shows/,7,583,1.2%,17.32
https://sportscardsnearme.ca/ontario/markham/,7,473,1.48%,8.69
https://sportscardsnearme.ca/nova-scotia/,7,342,2.05%,10.38
https://sportscardsnearme.ca/store/cartes-champions-anjou-montreal/,7,11,63.64%,5.09
https://sportscardsnearme.ca/sell/edmonton/,5,83,6.02%,7.82
https://sportscardsnearme.ca/alberta/okotoks/,5,29,17.24%,4
https://sportscardsnearme.ca/store/cool-pool-cards-cold-lake/,5,15,33.33%,1.93
https://sportscardsnearme.ca/ontario/mississauga/,4,782,0.51%,17.77
https://sportscardsnearme.ca/alberta/edmonton/,4,443,0.9%,11.2
https://sportscardsnearme.ca/,4,83,4.82%,33.61
https://sportscardsnearme.ca/guides/tax-on-selling-sports-cards-canada/,4,77,5.19%,4.16
https://sportscardsnearme.ca/store/b-t-sportscards-gaming-bathurst/,4,25,16%,4.36
https://sportscardsnearme.ca/store/collectible-card-caddy-okotoks/,4,18,22.22%,3.67
https://sportscardsnearme.ca/british-columbia/vernon/,3,295,1.02%,9.88
https://sportscardsnearme.ca/british-columbia/,3,233,1.29%,11.25
https://sportscardsnearme.ca/store/goliath-cards-and-collectibles-gander/,3,115,2.61%,4.3
https://sportscardsnearme.ca/quebec/,3,105,2.86%,9.9
https://sportscardsnearme.ca/sell/ottawa/,3,85,3.53%,9.25
https://sportscardsnearme.ca/shows/ontario-2026/,3,75,4%,9.71
https://sportscardsnearme.ca/store/782-sports-cards-dartmouth/,3,56,5.36%,2.59
https://sportscardsnearme.ca/alberta/fort-mcmurray/,3,39,7.69%,7.97
https://sportscardsnearme.ca/sell/victoria/,3,27,11.11%,5.96
https://sportscardsnearme.ca/alberta/whitecourt/,3,20,15%,4.8
https://sportscardsnearme.ca/nova-scotia/yarmouth/,3,20,15%,6.9
https://sportscardsnearme.ca/store/loot-kingdom-barrie/,2,176,1.14%,8.72
