Country,Clicks,Impressions,CTR,Position
Canada,560,39603,1.41%,9.67
United States,8,1092,0.73%,8.55
Germany,2,19,10.53%,6.05
United Kingdom,1,72,1.39%,18.47
Japan,1,15,6.67%,8
Colombia,1,5,20%,8
Dominican Republic,1,2,50%,6.5
India,0,114,0%,38.35
Philippines,0,68,0%,32.53
Vietnam,0,57,0%,45.84
Turkey,0,49,0%,44.71
France,0,41,0%,22.56
Indonesia,0,37,0%,28.54
Mexico,0,33,0%,34.73
Thailand,0,29,0%,31.48
Morocco,0,27,0%,37.19
United Arab Emirates,0,26,0%,7.12
Malaysia,0,25,0%,43.28
Algeria,0,24,0%,36.17
Spain,0,23,0%,30.17
Jordan,0,23,0%,32.35
Bangladesh,0,23,0%,45.04
Australia,0,20,0%,7.6
Russia,0,20,0%,31.95
Pakistan,0,17,0%,23.47
New Zealand,0,13,0%,6.54
Netherlands,0,13,0%,7.46
Hong Kong,0,13,0%,8.46
Nigeria,0,12,0%,6.92
Ukraine,0,12,0%,29.83
Italy,0,10,0%,6.6
Singapore,0,9,0%,7.89
Saudi Arabia,0,9,0%,36.11
Brazil,0,8,0%,11.5
Tunisia,0,7,0%,5.57
China,0,7,0%,9
Argentina,0,6,0%,7.17
Sweden,0,6,0%,7.5
Israel,0,5,0%,5.6
Poland,0,4,0%,4.25
Egypt,0,4,0%,7.75
Portugal,0,4,0%,9.5
Finland,0,4,0%,9.75
South Korea,0,4,0%,13.25
Czechia,0,3,0%,4
Belgium,0,3,0%,6.33
Switzerland,0,3,0%,6.67
Ghana,0,3,0%,8
Ireland,0,2,0%,5.5
Bermuda,0,2,0%,7
Chile,0,2,0%,7
St. Lucia,0,2,0%,8
Cayman Islands,0,2,0%,8.5
Taiwan,0,2,0%,8.5
Norway,0,2,0%,9
Peru,0,2,0%,9
Denmark,0,2,0%,9.5
Latvia,0,1,0%,3
Bahrain,0,1,0%,4
Lebanon,0,1,0%,5
Uruguay,0,1,0%,5
Venezuela,0,1,0%,5
Kenya,0,1,0%,6
Myanmar (Burma),0,1,0%,6
South Africa,0,1,0%,6
Kuwait,0,1,0%,8
Qatar,0,1,0%,8
Serbia,0,1,0%,8
Belize,0,1,0%,9
Laos,0,1,0%,9
Slovakia,0,1,0%,9
Albania,0,1,0%,10
Austria,0,1,0%,10
Estonia,0,1,0%,10
Trinidad & Tobago,0,1,0%,10
Botswana,0,1,0%,12
Monaco,0,1,0%,12
Nicaragua,0,1,0%,12
U.S. Virgin Islands,0,1,0%,12
Iraq,0,1,0%,24
