name,address,city,new_town,source,verdict,verification_note
Boutique du Collectionneur,"869A Rue de Puyjalon, Baie-Comeau, QC G5C 1N3, Baie-Comeau, Quebec",Baie-Comeau,YES,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
TW Prestige inc,"2 Rue Plourde Suite 205, Charlemagne, Quebec J5Z 3E8, Charlemagne, Quebec",Charlemagne,YES,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Au Royaume des Titans - Section Cartes et Jeux en Boutique,"1445-A Rue Des Champs-Elysees, Chicoutimi, QC G7H 6J2, Chicoutimi, Quebec",Chicoutimi,YES,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Presstine Marketing Inc,"543 Av. Lepine, Dorval, QC H9P 2S9, Dorval, Quebec",Dorval,YES,https://www.nearmetcg.com/search?province=Quebec,HOLD,"real card business but an OFFICE that ships - not walk-in retail (presstine.com, 543 Av. Lepine Dorval)"
Jeux Mania,"3079 Bd de Mascouche, Mascouche, QC J7K 3B9, Mascouche, Quebec",Mascouche,YES,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
La Boutique Mythique,"354 Boulevard Charest E, Quebec, QC G1K 3H5, Quebec City, Quebec",Quebec City,YES,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Roudoudou,"133 Rue St Germain O, Rimouski, QC G5L 4B6, Rimouski, Quebec",Rimouski,YES,https://www.nearmetcg.com/search?province=Quebec,EXCLUDE,"toy/puzzle/game shop (roudoudou.ca) - art, stickers, bath, toys, casse-tete. No cards evidenced. Miscategorised."
Boutique Awesome - Boutique de Jeux de Cartes,"5666 Ch. de Chambly, Saint-Hubert, QC J3Y 7E5, Saint-Hubert, Quebec",Saint-Hubert,YES,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
DCS Collection,"691 Rang Saint-Regis, Saint-Isidore-de-Laprairie, QC J0L 2A0, Saint-Isidore-de-Laprairie, Quebec",Saint-Isidore-de-Laprairie,YES,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Kayys Collection,"3131 Boulevard Cote Vertu Ouest, Saint-Laurent, Quebec H4R 1Y8, Saint-Laurent, Quebec",Saint-Laurent,YES,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
