slug,Store Name,City,Province,Rating,Google address (verify match)
cardera-collectibles-balzac-rocky-view-county,Cardera Collectibles,Balzac (Rocky View County),AB,4.9 (114),"260300 Writing Creek Cres C19, Balzac, AB T4A 0X8, Canada"
premier-sportscards-banff,Premier Sportscards,Banff,AB,2.5 (110),"215 Banff Ave, Banff, AB T1L 1A7, Canada"
shoebox-games-cafe-calgary,ShoeBox Games & Cafe,Calgary,AB,4.6 (591),"509 McKnight Blvd NE, Calgary, AB T2E 8P1, Canada"
armadillo-games-canmore,Armadillo Games,Canmore,AB,4.7 (128),"713 8 St, Canmore, AB T1W 0M9, Canada"
gamesland-canada-edmonton,Gamesland Canada,Edmonton,AB,4.6 (189),"14806 Stony Plain Rd, Edmonton, AB T5N 3S5, Canada"
outpost-sports-cards-and-games-edmonton,Outpost Sports Cards and Games,Edmonton,AB,4.7 (365),"15521 118 Ave NW, Edmonton, AB T5V 1C5, Canada"
swirl-cafe-games-edmonton,Swirl Café & Games,Edmonton,AB,4.5 (306),"6825 177 St NW, Edmonton, AB T5T 4K3, Canada"
wayne-s-sports-cards-and-collectibles-edmonton,WAYNE'S SPORTS CARDS AND COLLECTIBLES,Edmonton,AB,4.7 (340),"17010 90 Ave NW #104, Edmonton, AB T5T 1L6, Canada"
west-s-sports-cards-collectibles-edmonton,West's Sports Cards & Collectibles,Edmonton,AB,4.6 (326),"7910 118 Ave NW, Edmonton, AB T5B 2L1, Canada"
the-fort-board-games-and-card-games-the-fort-gaming-collectibles-fort-saskatchewan,The Fort Board Games and Card Games (THE FORT Gaming & Collectibles),Fort Saskatchewan,AB,4.7 (119),"10303 100 Ave #7, Fort Saskatchewan, AB T8L 1Y9, Canada"
the-fort-gaming-collectibles-board-games-card-fort-saskatchewan,THE FORT Gaming & Collectibles (board games & card ...,Fort Saskatchewan,AB,4.7 (119),"10303 100 Ave #7, Fort Saskatchewan, AB T8L 1Y9, Canada"
imperial-garden-sports-collectibles-grande-prairie,Imperial Garden Sports Collectibles,Grande Prairie,AB,4 (86),"10018 100 Ave., Grande Prairie, AB T8V 0V3, Canada"
djs-sportscards-comics-collectibles-red-deer,"DJS Sportscards, Comics & Collectibles",Red Deer,AB,4.5 (91),"5560 45 St, Red Deer, AB T4N 1L1, Canada"
wizard-s-loft-red-deer,Wizard's Loft,Red Deer,AB,4.8 (428),"5201 54 Ave #110, Red Deer, AB T4N 5K5, Canada"
stettler-game-corner-stettler,Stettler Game Corner,Stettler,AB,5 (5),"4940 50 St, Stettler, AB T4K 1K9, Canada"
hockey-central-sports-memorabilia-inc-sylvan-lake,Hockey Central Sports Memorabilia Inc,Sylvan Lake,AB,4.1 (269),"3715 47 Ave #315, Sylvan Lake, AB T4S 0K4, Canada"
d-c-s-collectibles-whitecourt,D&C's Collectibles,Whitecourt,AB,4.9 (34),"4439 52 Ave Unit 4, Whitecourt, AB T7S 1P2, Canada"
d-c-s-collectibles-whitecourt-2,D&C's Collectibles,Whitecourt,AB,4.9 (34),"4439 52 Ave Unit 4, Whitecourt, AB T7S 1P2, Canada"
infinity-cards-collectibles-aldergrove,Infinity Cards & Collectibles,Aldergrove,BC,4.6 (215),"27256 Fraser Hwy Unit 102, Aldergrove, BC V4W 3P8, Canada"
