slug,name,city,province,google_rating,google_reviews,google_addr
dad-s-day-off-games-hobbies-ddogames-blackfalds,"Dad's Day Off Games & Hobbies (DDOGames)","Blackfalds",AB,,,
holler-collectibles-camrose,"Holler Collectibles","Camrose",AB,,,""
the-memorabilia-shop-chestermere,"The Memorabilia Shop","Chestermere",AB,,,"210 Springmere Close, Chestermere, AB T1X 1K1"
chase-the-hits-inc-cochrane,"Chase The Hits Inc","Cochrane",AB,5.0,28,"118 1 Ave #15, Cochrane, AB T4C 2E7"
cool-pool-cards-cold-lake,"Cool Pool Cards","Cold Lake",AB,,,"5107 50 Ave, Cold Lake, AB T9M 1P4"
jesse-johnston-edson-buy-sell-and-trade-edson,""Jesse Johnston · Edson Buy"," Sell and Trade"",Edson,,,"605 50 St, Edson, AB T7E 1N7"
hobby-north-kn-cards-collectables-ltd-high-prairie,"Hobby North (KN Cards & Collectables Ltd)","High Prairie",AB,,,""
king-drug-hinton,"King Drug","Hinton",AB,4.9,92,"145 Athabasca Ave, Hinton, AB T7V 2A4"
personalized-sportcards-lethbridge,"Personalized Sportcards","Lethbridge",AB,,,""
brightside-hobbies-brightside-tcg-morinville,"Brightside Hobbies (Brightside TCG)","Morinville",AB,,,"10130 100 Ave, Morinville, AB T8R 1S3"
collectible-card-caddy-okotoks,"Collectible Card Caddy","Okotoks",AB,,,"900 Village Ln 330, 14, Okotoks, AB T1S 1N1"
pandora-s-boox-olds,"Pandora's Boox","Olds",AB,,,
rock-city-comics-rocky-mountain-house,"Rock City Comics","Rocky Mountain House",AB,4.7,119,"4918 50 St, Rocky Mountain House, AB T4T 1C2"
slab-savvy-cpa-sherwood-park,"Slab Savvy CPA","Sherwood Park",AB,,,""
hyper-games-chamber-slave-lake,"Hyper Games Chamber","Slave Lake",AB,5.0,14,"124 6 Ave SE, Slave Lake, AB T0G 2A3"
hob-s-hobbies-strathmore,"HOB's Hobbies","Strathmore",AB,,,
ken-s-sports-cards-memorabilia-taber,"Ken's Sports Cards & Memorabilia","Taber",AB,,,
international-battle-hobby-card-collective-ibhcc-inc-vegreville,"International Battle & Hobby Card Collective (IBHCC Inc.)","Vegreville",AB,5.0,9,"5105 49 St #101, Vegreville, AB T9C 1L9"
orchard-city-games-wainwright-wainwright,"Orchard City Games - Wainwright","Wainwright",AB,3.8,32,"215 10 St, Wainwright, AB T9W 1K7"
game-day-hobbies-and-collectables-wetaskiwin,"Game Day Hobbies and Collectables","Wetaskiwin",AB,3.1,25,"5008 51 Ave, Wetaskiwin, AB T9A 1L5"
al-s-sports-quest-whitecourt,"Al's Sports Quest","Whitecourt",AB,,,
go-go-hobbies-coquitlam,"Go Go Hobbies","Coquitlam",BC,4.9,144,"2124 Austin Ave, Coquitlam, BC V3K 3R8"
blue-moon-collectables-delta-ladner,"Blue Moon Collectables","Delta (Ladner)",BC,4.9,23,"4876 Delta St, Delta, BC V4K 2T8"
nerd-feeder-delta-ladner,"Nerd Feeder","Delta (Ladner)",BC,4.9,211,"4962 Bridge St, Delta, BC V4K 2K1"
rain-city-games-new-westminster-new-westminster,"Rain City Games (New Westminster)","New Westminster",BC,4.6,158,"810 Quayside Dr Unit 106, New Westminster, BC V3M 6B9"
sn-hobbies-new-westminster,"SN Hobbies","New Westminster",BC,4.4,301,"814 12th St, New Westminster, BC V3M 4K1"
t-n-games-royal-city-centre-new-westminster,"T&N Games (Royal City Centre)","New Westminster",BC,4.2,129,"610 6th St Unit 118, New Westminster, BC V3L 3C2"
sonny-s-collectables-terrace,"Sonny's Collectables","Terrace",BC,,,
ebenezer-s-comics-collectibles-vernon,"Ebenezer's Comics & Collectibles","Vernon",BC,,,
k-b-hobbies-and-games-vernon,"K&B Hobbies and Games","Vernon",BC,4.9,76,"8106 Highland Pl, Vernon, BC V1B 3W6"
obsidian-games-vernon,"Obsidian Games","Vernon",BC,4.9,132,"2520 53 Ave unit 304, Vernon, BC V1T 9W8"
bam-cards-and-collectibles-carman,"BAM Cards and Collectibles","Carman",MB,,,""
go-beyond-games-dauphin,"Go Beyond Games","Dauphin",MB,4.7,78,"223 Main St N, Dauphin, MB R7N 1H6"
arctic-board-games-steinbach,"Arctic Board Games","Steinbach",MB,4.9,91,"363 Main St, Steinbach, MB R5G 1X5"
neko-s-game-store-car-wash-thompson,"Neko's (Game Store & Car Wash)","Thompson",MB,,,
boutique-de-cartes-sportives-l-as-de-coeur-caraquet,"Boutique de cartes sportives L'as de coeur","Caraquet",NB,,,
castle-vania-sports-cards-miramichi,"Castle Vania Sports Cards","Miramichi",NB,,,""
pabi-s-collectibles-pabi-s-hobbies-collectibles-miramichi,"Pabi's Collectibles (PABI's Hobbies & Collectibles)","Miramichi",NB,,,
moncton-sports-cards-moncton,"Moncton Sports Cards","Moncton",NB,,,""
vortex-games-sackville,"Vortex Games","Sackville",NB,4.8,178,"87 Main St, Sackville, NB E4L 0E4"
goliath-cards-and-collectibles-gander,"Goliath Cards and Collectibles","Gander",NL,4.3,6,"92 Elizabeth Dr, Gander, NL A1V 1W7"
bay-breakers-happy-valley-goose-bay,"Bay Breakers","Happy Valley-Goose Bay",NL,,,"9 Ikey St, Happy Valley-Goose Bay, NL A0P 1C0"
782-sports-cards-dartmouth,"782 Sports Cards","Dartmouth",NS,5.0,12,"169 Main St, Dartmouth, NS B2X 1S1"
