slug,Store Name,City,Province,Rating,Google address (verify match)
tugs-cards-comics-tugs-pop-culture-sports-drumheller,TUGS Cards & Comics (Tugs Pop Culture & Sports),Drumheller,AB,4.7 (53),"Box 1621, 65B 3 Ave W, Drumheller, AB T0J 0Y0, Canada"
tailgate-mercantile-co-okotoks,Tailgate Mercantile Co.,Okotoks,AB,4.2 (26),"Box 308, 21 Elizabeth St, Okotoks, AB T1S 1A6, Canada"
house-of-cards-abbotsford-abbotsford,House of Cards (Abbotsford),Abbotsford,BC,4.6 (633),"2664 Gladys Ave #6, Abbotsford, BC V2S 3X8, Canada"
pastime-sports-games-metrotown-burnaby,Pastime Sports & Games (Metrotown),Burnaby,BC,3.7 (98),"4700 Kingsway, Burnaby, BC V5H 4N2, Canada"
goalline-sports-cards-chilliwack,Goalline Sports Cards,Chilliwack,BC,4.8 (24),"45922 Thunderbird Ln #102, Chilliwack, BC V2P 0J6, Canada"
kanto-poke-mart-chilliwack,Kanto Poke Mart,Chilliwack,BC,4.9 (61),"45925 Thunderbird Ln #103, Chilliwack, BC V2P 0J6, Canada"
kootenay-sports-cards-collectables-cranbrook,Kootenay Sports Cards & Collectables,Cranbrook,BC,4.7 (12),"105 9 Ave S, Cranbrook, BC V1C 2M1, Canada"
wiser-s-wide-world-of-collectibles-langley,Wiser's Wide World of Collectibles,Langley,BC,4.3 (472),"9640 201 St B4, Langley Twp, BC V1M 3E8, Canada"
the-card-corner-and-games-port-alberni,The Card Corner and Games,Port Alberni,BC,4.6 (57),"5262 Argyle St a, Port Alberni, BC V9Y 1T9, Canada"
a-star-collectibles-prince-george,A-Star Collectibles,Prince George,BC,4.2 (2902),"3055 Massey Dr, Prince George, BC V2N 2S9, Canada"
great-white-toys-comics-games-prince-george,Great White Toys · Comics · Games,Prince George,BC,4.3 (861),"Spruceland Shopping Centre, 795 Central St W, Prince George, BC V2M 3C6, Canada"
team-collectors-richmond,Team Collectors,Richmond,BC,4.9 (292),"4380 Number 3 Rd #1250, Richmond, BC V6X 2C2, Canada"
house-of-cards-cloverdale-surrey,House of Cards (Cloverdale),Surrey,BC,4.7 (223),"5660 176a St #101, Surrey, BC V3S 4H1, Canada"
pastime-sports-games-guildford-surrey,Pastime Sports & Games (Guildford),Surrey,BC,4 (86),"10355 152 St, Surrey, BC V3R 7C1, Canada"
i-want-that-stuff-brandon,I Want That Stuff,Brandon,MB,4.6 (250),"138 10th St, Brandon, MB R7A 0P7, Canada"
superstars-sports-collectibles-winnipeg,Superstars Sports Collectibles,Winnipeg,MB,4.6 (61),"555 Sterling Lyon Pkwy Ste 189, Winnipeg, MB R3P 2S8, Canada"
card-rack-fredericton,Card Rack,Fredericton,NB,4.6 (46),"435 Brookside Dr, Fredericton, NB E3A 8V4, Canada"
cardboard-hero-fredericton-fredericton,Cardboard Hero Fredericton,Fredericton,NB,4.8 (51),"138 Dundonald St #1A, Fredericton, NB E3B 1W8, Canada"
endeavours-thinkplay-fredericton,Endeavours ThinkPlay,Fredericton,NB,4.8 (361),"141 Brunswick St, Fredericton, NB E3B 1G7, Canada"
vintage-pursuit-hobby-shop-saint-john,Vintage Pursuit Hobby Shop,Saint John,NB,3.5 (31),"McAllister Place Mall, 519 Westmorland Rd Unit E003, Saint John, NB E2J 3W9, Canada"
amg-collectibles-bedford-halifax,AMG Collectibles,Bedford (Halifax),NS,4.5 (143),"Place Mall, 1658 Bedford Hwy, Bedford, NS B4A 2X9, Canada"
henry-s-hut-hobbies-and-collectibles-new-glasgow,Henry's Hut Hobbies and Collectibles,New Glasgow,NS,4.9 (31),"166 Provost St, New Glasgow, NS B2H 2T5, Canada"
the-tabletop-games-collectibles-yellowknife,The Tabletop Games & Collectibles,Yellowknife,NT,4.6 (9),"483 Range Lake Rd Unit 8, Yellowknife, NT X1A 3R9, Canada"
pokemon-tcg-store-barrie,Pokémon TCG Store,Barrie,ON,4.8 (91),"159A Anne St S, Barrie, ON L4N 2E4, Canada"
cardboard-memories-inc-brampton,Cardboard Memories Inc.,Brampton,ON,4.8 (1177),"230 Sandalwood Pkwy E Unit 2, Brampton, ON L6Z 1R3, Canada"
bfireballdragon-greater-sudbury,BFireBallDragon,Greater Sudbury,ON,4.2 (117),"2914 Hwy 69N, Val Caron, ON P3N 1E3, Canada"
great-canadian-card-co-greater-sudbury,Great Canadian Card Co,Greater Sudbury,ON,4.5 (322),"1414 Lasalle Blvd, Greater Sudbury, ON P3A 1Z6, Canada"
cloutsnchara-sports-cards-kitchener,CloutsnChara Sports Cards,Kitchener,ON,4.4 (381),"Behind Natural Sound, 645 Victoria St N, Kitchener, ON N2H 5G3, Canada"
beyond-the-pond-sportcards-london,Beyond The Pond Sportcards,London,ON,4.7 (64),"1615 N Routledge Park, London, ON N6H 5L6, Canada"
pokanada-sealed-pokemon-section-inside-pharmacy-london,Pokanada (Sealed Pokemon section inside pharmacy),London,ON,4.9 (153),"990 Gainsborough Rd, London, ON N6H 5L4, Canada"
true-gem-sports-collectibles-markham,True Gem Sports Collectibles,Markham,ON,5 (65),"2nd floor, 4418 Hwy 7 #204, Unionville, ON L3R 1M2, Canada"
untouchables-sports-cards-gaming-mississauga,Untouchables Sports Cards & Gaming,Mississauga,ON,4.4 (445),"377 Burnhamthorpe Rd E, Mississauga, ON L5A 3Y1, Canada"
game-3-tcg-hobby-oakville,Game 3 TCG & Hobby,Oakville,ON,4.6 (306),"1011 Upper Middle Rd E, Oakville, ON L6H 4L3, Canada"
over-the-top-gaming-oshawa,Over The Top Gaming,Oshawa,ON,5 (20),"911 B Simcoe St N, Side entrance on, Robert St, Oshawa, ON L1G 4W1, Canada"
pokemon-tcg-supply-ottawa,Pokemon TCG Supply,Ottawa,ON,4.9 (74),"1886 Merivale Rd Unit 103-1, Ottawa, ON K2G 5W5, Canada"
collect-em-all-cards-and-games-thunder-bay,Collect 'em All - Cards and Games,Thunder Bay,ON,4.9 (57),"278 Bay St, Thunder Bay, ON P7B 1R8, Canada"
skaf-express-let-s-play-cards-and-games-thunder-bay,Skaf Express (Let's Play! Cards and Games!),Thunder Bay,ON,4.3 (53),"Let's Play! Cards and Games!, 470 Hodder Ave, Thunder Bay, ON P7A 7X5, Canada"
sports-cards-plus-collectibles-thunder-bay,Sports Cards Plus & Collectibles,Thunder Bay,ON,4.9 (57),"278 Bay St, Thunder Bay, ON P7B 1R8, Canada"
clutch-games-toronto,Clutch Games,Toronto,ON,4.9 (433),"388 Spadina Ave. Fl 2, Toronto, ON M5T 2G5, Canada"
maximum-cards-collectibles-whitby,Maximum Cards & Collectibles,Whitby,ON,4.9 (586),"306 Dundas St W Unit B1, Whitby, ON L1N 2M5, Canada"
downtown-cards-charlottetown,Downtown Cards,Charlottetown,PE,4.3 (9),"Great George St, Charlottetown, PE C1A 4L1, Canada"
topdeck-hero-boucherville-boucherville,TopDeck Hero Boucherville,Boucherville,QC,4.5 (68),"191 Bd de Mortagne, Boucherville, QC J4B 1A9, Canada"
l-imaginaire-chicoutimi-chicoutimi-saguenay,L'Imaginaire Chicoutimi,Chicoutimi (Saguenay),QC,4.7 (62),"Place du Royaume, 1401 Bd Talbot Local E, Chicoutimi, QC G7H 5N6, Canada"
galerie-du-jouet-dolbeau-dolbeau-mistassini,Galerie du Jouet Dolbeau,Dolbeau-Mistassini,QC,4.4 (21),"Promenades du Boulevard, 1311 Boul. Wallberg, Dolbeau-Mistassini, QC G8L 1H3, Canada"
collector-s-avenue-west-island-dollard-des-ormeaux,Collector's Avenue West Island,Dollard-des-Ormeaux,QC,4.8 (18),"4067 Boul. Saint-Jean, Dollard-des-Ormeaux, QC H9G 2R4, Canada"
gamer-s-spot-drummondville,Gamer's Spot,Drummondville,QC,4.5 (174),"2265 Bd Saint-Joseph, Drummondville, QC J2B 1S2, Canada"
galerie-du-jouet-jonquiere-jonquiere-saguenay,Galerie du Jouet Jonquière,Jonquière (Saguenay),QC,4.2 (68),"Galeries Jonquière, 3460 Boulevard St François, Jonquière, QC G7X 8L3, Canada"
card-brawlers-montreal,Card Brawlers,Montréal,QC,4.9 (626),"Second floor, 7105 R. Saint-Denis Unit 202, Montreal, QC H2S 2S5, Canada"
l-imaginaire-pointe-claire-pointe-claire,L'Imaginaire Pointe-Claire,Pointe-Claire,QC,4.5 (301),"Y008, 6801 Trans-Canada Hwy, Pointe-Claire, QC H9R 1C4, Canada"
les-entreprises-bluenose-pointe-claire,Les Entreprises Bluenose,Pointe-Claire,QC,3.7 (265),"313 Boul. Saint-Jean, Pointe-Claire, QC H9R 3J2, Canada"
hobby-et-collection-tpm-quebec,Hobby et Collection (TPM),Québec,QC,4.4 (177),"550 Rue Fleur-de-Lys Local F-12, Québec, QC G1M 3E5, Canada"
tpm-hobby-et-collection-quebec,TPM Hobby et Collection,Québec,QC,4.4 (177),"550 Rue Fleur-de-Lys Local F-12, Québec, QC G1M 3E5, Canada"
l-imaginaire-quebec-quebec-ste-foy,L'Imaginaire Québec,Québec (Ste-Foy),QC,4.7 (2274),"2740 Boul Laurier, Québec, QC G1V 4P7, Canada"
galerie-du-jouet-roberval-roberval,Galerie du Jouet Roberval,Roberval,QC,4.4 (21),"Carrefour Jeannois, 1221 Bd Marcotte, Roberval, QC G8H 3B8, Canada"
