slug,Services,Sports/TCG
------,----------,------------
1up-games-hamilton,Sells;Trades Singles;Trade Nights,Pokemon
203-collectibles-ltd-edmonton,Sells;Buys;Trades Singles;Grading Services;Trade Nights,Pokemon
401-games-toronto,Sells;Buys;Grading Services;Sells Wax,Baseball;Basketball;Football;Hockey;Magic;Pokemon
401-games-vaughan-vaughan,Sells;Buys;Grading Services;Sells Wax,Baseball;Basketball;Football;Hockey;Magic;Pokemon
a-c-games-toronto,Sells;Trades Singles;Grading Services;Sells Wax,Baseball;Basketball;Football;Hockey;Magic;Pokemon
a-j-hobbies-markham,Sells,
aces-cool-collectibles-north-bay,Sells;Buys,Baseball;Basketball;Football
action-packed-comics-games-kingston,Sells;Trade Nights,Baseball;Football;Hockey;Magic;Pokemon
addictive-hobbies-games-oshawa,Sells,
advance-rc-hobbies-markham,Sells,
aj-sports-autographed-memorabilia-toronto,Sells;Buys,Baseball;Basketball;Football;Hockey
anime-alley-toronto,Sells;Buys;Sells Wax;Trade Nights,Football;Magic;Pokemon
anime-otaku-hobby-toronto,Sells,Magic;Pokemon
argama-hobby-vaughan,Sells,Basketball;Pokemon
arkane-angel-cold-lake,Sells,
art-noise-kingston,Sells,
avalon-hobbies-medicine-hat,Sells,Basketball;Football
banana-games-hobby-toronto,Sells;Buys;Sells Wax,Pokemon
battle-river-sports-excellence-camrose,Sells,Baseball;Hockey
beardycards-toronto,Sells;Buys;Sells Wax,Football;Magic;Pokemon
big-b-comics-barrie,Sells,
big-b-comics-hamilton,Sells;Buys;Trades Singles,Magic;Pokemon
black-knight-games-hamilton,Sells;Buys;Trades Singles;Sells Wax;Trade Nights,Football;Magic;Pokemon
black-rose-hobbies-toronto,Sells;Sells Wax,Magic;Pokemon
booster-house-kingston,Sells,Magic;Pokemon
border-city-games-lloydminster,Sells;Buys;Sells Wax;Trade Nights,Football;Magic;Pokemon
boreal-gaming-cards-thorold,Sells;Buys;Sells Wax;Trade Nights,Magic;Pokemon
box-of-cards-sports-cards-aurora,Sells;Sells Wax,Baseball;Football;Hockey;Pokemon
box-of-cards-sports-cards-barrie,Sells;Sells Wax,Baseball;Football;Hockey;Pokemon
breakaway-sports-cards-hamilton,Sells;Sells Wax;Breaks;Trade Nights,Baseball;Basketball;Football;Hockey;Pokemon
brimstone-games-windsor,Sells;Buys;Trades Singles;Grading Services;Sells Wax;Trade Nights,Hockey;Magic;Pokemon
burdin-s-comics-hamilton,Sells,
buying-sports-cards-comics-ottawa,Buys,Baseball
camrosenextgen-gaming-camrose,Sells,
cangeek-games-and-collectibles-toronto,Sells,
capital-city-cards-collectibles-edmonton,Sells,
card-board-gaming-appointment-only-markham,Sells;Sells Wax,Pokemon
card-cycle-london,Sells;Trades Singles;Sells Wax;Trade Nights,Pokemon
cardboard-classics-vaughan,Sells;Buys;Trades Singles;Sells Wax,Pokemon
cardboard-hero-oshawa,Buys;Sells;Sells Wax;Grading Services,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
cardify-hobby-cards-collectibles-sports-tcgs-toronto,Sells;Sells Wax;Trade Nights,Baseball;Basketball;Football;Hockey;Pokemon
cards-and-coasters-orillia,Buys;Sells;Trades Singles;Sells Wax,Pokemon;Magic;Other
carsncards-com-ottawa,Sells;Sells Wax,Pokemon
carta-magica-ottawa-ottawa,Buys;Sells;Sells Wax;Trade Nights,Hockey;Pokemon;Magic;Other
cartoon-kingdom-windsor,Sells,
cedar-creek-hobbies-windsor,Sells,
cellular-magician-london,Sells;Buys,
celly-sports-games-calgary,Sells;Grading Services;Sells Wax;Breaks,Baseball;Basketball;Football;Hockey;Magic;Pokemon
centre-ice-collectibles-niagara-falls,Buys;Sells;Trades Singles,Hockey
certified-sports-memorabilia-vaughan,Sells,Baseball;Hockey
cheesmo-s-cards-mobile-hobby-shop-mississauga,Buys;Sells;Trades Singles;Sells Wax,
chigun-hobbies-markham,Sells,Pokemon
chimera-gaming-kitchener,Sells;Buys;Trades Singles;Grading Services;Sells Wax;Trade Nights,Basketball;Football;Magic;Pokemon
chonky-collectibles-toronto,Sells;Buys;Sells Wax;Trade Nights,Magic;Pokemon
chumleighs-kingston,Sells;Buys,
collectors-books-cards-calgary,Sells,Baseball;Hockey
comfy-hobbies-markham,Sells;Sells Wax;Trade Nights,Pokemon;Magic;Other
comic-alley-toys-oshawa,Sells;Buys,Football
comic-readers-medicine-hat,Sells,
common-box-games-edmonton,Sells;Sells Wax,Pokemon
conspiracy-comics-games-anime-hamilton,Sells,Magic;Pokemon
conspiracy-comics-games-anime-mississauga,Sells,Other
cool-dragon-hobby-markham,Sells,Pokemon
cyber-city-comix-toronto,Sells,
d-j-s-sports-cards-comics-red-deer,Sells;Buys;Sells Wax;Trade Nights,Football;Hockey;Magic;Pokemon
danireon-cards-games-ottawa,Sells;Sells Wax;Trades Singles,Pokemon
dark-fox-tcg-hamilton,Sells;Buys;Grading Services;Sells Wax;Trade Nights,Magic;Pokemon
dbsport-collectibles-toronto,Sells,
dd-sports-vaughan-vaughan,Sells;Sells Wax,Baseball;Basketball;Hockey;Pokemon
deck-out-gaming-oshawa,Buys;Sells;Sells Wax,Pokemon;Magic;Other
diadem-cards-hobbies-greater-sudbury,Sells;Buys,Magic;Pokemon
digital-oasis-windsor,Sells,
djk-entertainment-toronto,Sells,Football;Pokemon
docs-hobby-shop-greater-sudbury,Sells,
dolly-s-cards-collectibles-waterloo-waterloo,Sells;Buys;Grading Services;Sells Wax;Trade Nights,Baseball;Basketball;Football;Hockey;Magic;Pokemon
dolly-s-sports-cards-toronto,Sells;Buys;Breaks,Football
dolly-s-toys-games-toronto-toronto,Sells;Buys;Grading Services;Sells Wax;Trade Nights,Baseball;Basketball;Football;Hockey;Magic;Pokemon
doug-laurie-sports-barrie,Sells,
duck-duck-games-collectibles-toronto,Sells;Sells Wax,Magic;Pokemon
duel-city-games-mississauga,Sells;Sells Wax,Pokemon;Magic;Other
dxhers-ottawa,Buys;Sells,Pokemon;Other
ea-collectibles-london,Sells;Buys;Trades Singles;Sells Wax;Trade Nights,Football;Magic;Pokemon
eastridge-sports-cards-games-calgary,Sells;Grading Services;Sells Wax,Baseball;Basketball;Football;Hockey;Magic;Pokemon
eclipse-games-edmonton,Sells;Sells Wax,Magic;Pokemon
emmett-s-toystop-hobby-shop-toronto,Sells;Buys;Sells Wax,Baseball;Basketball;Hockey;Pokemon
empire-trading-tcg-ottawa,Buys;Sells;Sells Wax;Trade Nights,Pokemon;Magic;Other
entertainment-ink-ottawa,Sells,
env-collectible-sherwood-park,Sells;Buys,Basketball;Magic;Pokemon
esper-cards-games-toronto,Sells;Sells Wax;Trade Nights,Magic;Pokemon
evolution-sports-excellence-leduc,Sells,Baseball;Hockey
f-g-bradley-s-oshawa,Sells,Hockey
face-to-face-games-toronto,Sells;Buys;Sells Wax;Trade Nights,Magic;Pokemon
fan-of-the-sport-st-thomas,Sells;Buys,Baseball;Basketball;Football;Magic;Pokemon
fearocards-brampton,Sells;Sells Wax,Pokemon
fine-toys-store-markham,Sells;Sells Wax,Pokemon;Magic;Other
five-dragons-hobbies-markham,Sells,
flaring-lair-richmond-hill,Sells;Buys;Grading Services;Sells Wax,Magic;Pokemon
fly-by-nite-movies-games-and-toys-oshawa,Sells,
forest-city-coins-stamps-london,Sells;Buys;Sells Wax,Baseball;Hockey;Magic;Pokemon
froggers-house-of-cards-and-autograph-gallery-edmonton,Sells;Buys;Trade Nights,Baseball;Basketball;Football;Hockey;Magic;Pokemon
