slug,name,city,province,reason
lakeland-sports-cards-bonnyville,Lakeland Sports Cards,Bonnyville,AB,unreachable: https://lakelandsportscards.com
andys-sports-cards-and-collectibles-calgary,Andys Sports Cards and Collectibles,Calgary,AB,unreachable: http://andyssportscards.ca
anime-hypercubed-camrose,Anime Hypercubed,Camrose,AB,no website on record
the-memorabilia-shop-chestermere,The Memorabilia Shop,Chestermere,AB,no website on record
cool-pool-cards-cold-lake,Cool Pool Cards,Cold Lake,AB,no website on record
dave-s-card-shop-edmonton,Dave's Card Shop,Edmonton,AB,unreachable: http://davescardshop.ca
wayne-s-sports-cards-and-collectibles-edmonton,WAYNE'S SPORTS CARDS AND COLLECTIBLES,Edmonton,AB,no website on record
west-s-sports-cards-collectibles-edmonton,West's Sports Cards & Collectibles,Edmonton,AB,no website on record
all-in-sports-den-fort-mcmurray,All In Sports Den,Fort McMurray,AB,no website on record
tactical-magic-games-inc-fort-mcmurray,Tactical Magic Games Inc,Fort McMurray,AB,unreachable: https://facebook.com/tacticalmagicgames
the-fort-gaming-collectibles-board-games-card-fort-saskatchewan,THE FORT Gaming & Collectibles (board games & card ...,Fort Saskatchewan,AB,no website on record
toyz-game-emporium-inc-grande-prairie,Toyz Game Emporium Inc,Grande Prairie,AB,unreachable: https://www.facebook.com/toyzgame
wonderland-games-grande-prairie,Wonderland Games,Grande Prairie,AB,no website on record
bingham-s-sports-cards-lethbridge,Bingham's Sports Cards,Lethbridge,AB,no website on record
personalized-sportcards-lethbridge,Personalized Sportcards,Lethbridge,AB,unreachable: http://personalizedsportcards.com
pirates-cove-collectibles-ltd-lethbridge,Pirates Cove Collectibles Ltd,Lethbridge,AB,unreachable: https://www.facebook.com/profile.php?id=100054447371205
the-vault-sports-cards-and-collectables-lethbridge,The Vault Sports Cards and Collectables,Lethbridge,AB,no website on record
babs-gaming-and-sports-cards-inc-lloydminster,Babs Gaming And Sports Cards Inc,Lloydminster,AB,unreachable: http://www.babsgaming.ca
the-cardboard-casket-medicine-hat,The Cardboard Casket,Medicine Hat,AB,unreachable: http://www.facebook.com/groups/thecardboardcasket
collectible-card-caddy-okotoks,Collectible Card Caddy,Okotoks,AB,unreachable: http://collectiblecardcaddy.com
tailgate-mercantile-co-okotoks,Tailgate Mercantile Co.,Okotoks,AB,no website on record
bill-sr-s-sports-cards-red-deer,Bill Sr's Sports Cards,Red Deer,AB,no website on record
djs-sportscards-comics-collectibles-red-deer,"DJS Sportscards, Comics & Collectibles",Red Deer,AB,no website on record
holmestead-sports-cards-collectibles-red-deer,Holmestead Sports Cards & Collectibles,Red Deer,AB,unreachable: https://www.facebook.com/HOLMESTEADSCC
wizard-s-loft-red-deer,Wizard's Loft,Red Deer,AB,no website on record
georges-ii-sherwood-park,Georges II,Sherwood Park,AB,no website on record
stettler-game-corner-stettler,Stettler Game Corner,Stettler,AB,no website on record
hockey-central-sports-memorabilia-inc-sylvan-lake,Hockey Central Sports Memorabilia Inc,Sylvan Lake,AB,no website on record
d-c-s-collectibles-whitecourt,D&C's Collectibles,Whitecourt,AB,no website on record
pokemon-tcg-store-barrie,Pokémon TCG Store,Barrie,ON,unreachable: https://wa.me/message/4G23PO7DGGGFE1
bfireballdragon-greater-sudbury,BFireBallDragon,Greater Sudbury,ON,unreachable: http://bfireballdragon.com
comics-north-greater-sudbury,Comics North,Greater Sudbury,ON,unreachable: https://www.facebook.com/comicsnorthhiddenlevelgames
great-canadian-games-hobbies-greater-sudbury,Great Canadian Games & Hobbies,Greater Sudbury,ON,unreachable: https://www.facebook.com/GreatCanadianGames
retro-relics-greater-sudbury,Retro Relics,Greater Sudbury,ON,unreachable: https://www.facebook.com/profile.php?id=61550925574309&mibextid=9R9pXO
slab-labs-tcg-greater-sudbury,Slab Labs TCG,Greater Sudbury,ON,unreachable: http://slablabstcg.com
brodie-s-gaming-guelph,Brodie's Gaming,Guelph,ON,unreachable: http://brodiesgaming.ca
scahub-marketplace-guelph,SCAHub Marketplace,Guelph,ON,unreachable: https://scahub.ca
digital-grade-submissions-hamilton,Digital Grade Submissions,Hamilton,ON,unreachable: http://www.digitalgrade.io
heroes-n-legends-hamilton,Heroes N' Legends,Hamilton,ON,unreachable: https://m.facebook.com/HNLJackson
game-over-kingston,Game Over,Kingston,ON,unreachable: http://facebook.com/ygkgameover
sbt-comics-games-kingston,SBT Comics & Games,Kingston,ON,unreachable: http://www.sbtcomics.com
beyond-the-pond-sports-cards-and-collectables-london,Beyond the Pond Sports Cards and Collectables,London,ON,unreachable: http://www.beyondthepond.ca
warhammer-london,Warhammer,London,ON,unreachable: https://www.warhammer.com/?utm_source=Google&utm_medium=Yext
true-gem-sports-collectibles-markham,True Gem Sports Collectibles,Markham,ON,unreachable: https://www.facebook.com/groups/546030109461282
a-spec-cards-inc-milton,A-Spec Cards Inc.,Milton,ON,unreachable: http://www.aspeccards.com
g-a-m-e-s-oshawa,G A M E S,Oshawa,ON,unreachable: http://www.facebook.com/GamesAreMySource
the-entertainment-cube-oshawa,The Entertainment Cube,Oshawa,ON,unreachable: http://www.facebook.com/cubeclown
carta-magica-ottawa-ottawa,Carta Magica Ottawa,Ottawa,ON,unreachable: http://www.cartamagicaottawa.com
danireon-cards-games-ottawa,Danireon Cards & Games,Ottawa,ON,unreachable: https://www.danireon.com
imaginaire-store-ottawa-ottawa,Imaginaire Store Ottawa,Ottawa,ON,unreachable: http://www.imaginaire.com
nefarious-comics-ottawa,Nefarious Comics,Ottawa,ON,unreachable: http://www.nefariouscomics.com
nostalgia-warehouse-ottawa,Nostalgia Warehouse,Ottawa,ON,unreachable: https://www.facebook.com/nostalgiawarehouseottawa
pokemon-tcg-supply-ottawa,Pokemon TCG Supply,Ottawa,ON,unreachable: https://www.facebook.com/share/1CNPHB3Gmx/?mibextid=wwXIfr
games-nook-ii-sault-ste-marie,Games Nook II,Sault Ste. Marie,ON,unreachable: https://facebook.com/GamesNookII
vintage-games-n-junque-sault-ste-marie,Vintage Games 'n Junque,Sault Ste. Marie,ON,unreachable: http://www.vgnj.ca
xcite-toys-games-collectibles-sault-ste-marie,Xcite Toys Games & Collectibles,Sault Ste. Marie,ON,unreachable: http://www.facebook.com/XciteToysGames
game-nation-hobbies-games-toronto,Game Nation Hobbies & Games,Toronto,ON,unreachable: http://www.gamenation.ca
