slug,name,city,province,Services,Sports/TCG,evidence,site
morrison-trading-post-airdrie,Morrison Trading Post,Airdrie,AB,Sells;Buys;Grading Services;Sells Wax;Breaks;Trade Nights,Baseball;Basketball;Football;Hockey;Pokemon,"Buys: ""sell your"" @ / | Sells Wax: ""hobby box"" @ / | Breaks: ""group break"" @ / | Trade Nights: ""trade night"" @ / | Grading Services: ""grading submission"" @ /pages/grading-group-sub-terms-conditions?pb=0",https://morrisontradingpost.com
snap-collectables-airdrie,Snap! Collectables,Airdrie,AB,Sells,,,http://www.snapcollectables.com
treasure-cove-comics-collectables-airdrie,Treasure Cove Comics & Collectables,Airdrie,AB,Sells;Trade Nights,Magic;Pokemon,"Trade Nights: ""tournament"" @ /",http://www.treasurecoveltd.ca
overtime-sports-cards-grading-balzac,Overtime Sports Cards & Grading,Balzac,AB,Sells;Grading Services;Sells Wax,Baseball;Basketball;Football;Hockey;Magic;Pokemon,"Sells Wax: ""sealed product"" @ / | Grading Services: ""grading submission"" @ /collections/graded-supplies",https://www.overtimesportscards.ca
celly-sports-games-calgary,Celly Sports & Games,Calgary,AB,Sells;Grading Services;Sells Wax;Breaks,Baseball;Basketball;Football;Hockey;Magic;Pokemon,"Sells Wax: ""hobby box"" @ / | Breaks: ""box break"" @ / | Grading Services: ""grading submission"" @ https://www.cellysports.com/collections/card-accessories?sort_by=best-selling&filter.v.price.gte=&filter.v.price.lte=&filter.p.product_type=TOPLOADER",http://www.cellysports.com
collectors-books-cards-calgary,Collectors Books & Cards,Calgary,AB,Sells,Baseball;Hockey,,http://collectorsbooksandcards.ca
eastridge-sports-cards-games-calgary,Eastridge Sports Cards & Games,Calgary,AB,Sells;Grading Services;Sells Wax,Baseball;Basketball;Football;Hockey;Magic;Pokemon,"Grading Services: ""grading submission"" @ / | Sells Wax: ""hobby box"" @ /",http://www.ersportscards.ca
maple-leaf-sports-calgary,Maple Leaf Sports,Calgary,AB,Sells;Sells Wax;Breaks,Baseball;Basketball;Football;Hockey;Magic;Pokemon,"Sells Wax: ""hobby box"" @ / | Breaks: ""box break"" @ /",http://www.mapleleafsports.ca
olympic-sports-cards-and-games-calgary,Olympic Sports Cards and Games,Calgary,AB,Sells,,,http://www.olympicsportscardsandgames.com
sentry-box-cards-calgary,Sentry Box Cards,Calgary,AB,Sells;Buys,Magic;Pokemon,"Buys: ""buylist"" @ /",http://sentryboxcards.com
battle-river-sports-excellence-camrose,Battle River Sports Excellence,Camrose,AB,Sells,Baseball;Hockey,,http://www.battleriversports.com
camrosenextgen-gaming-camrose,CamroseNextGen Gaming,Camrose,AB,Sells,,,https://sites.google.com/view/camrosenextgengaming/home
holler-collectibles-camrose,Holler Collectibles,Camrose,AB,Sells,,,https://holler-computer-services-and-collectibles.square.site/s/shop
quantum-comics-collectibles-camrose,Quantum Comics & Collectibles,Camrose,AB,Sells;Trade Nights,Pokemon,"Trade Nights: ""tournament"" @ /about-us.html",http://www.quantumcomics.ca
retro-camrose,Retro,Camrose,AB,Sells;Trade Nights,,"Trade Nights: ""tournament"" @ /book.html#experiences",https://play-here.ca
the-data-base-camrose-camrose,The Data Base Camrose,Camrose,AB,Sells,,,http://www.thedatabasecamrose.ca
arkane-angel-cold-lake,Arkane Angel,Cold Lake,AB,Sells,,,https://www.arkane-angel.ca/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=3851568251012994274
203-collectibles-ltd-edmonton,203 Collectibles LTD.,Edmonton,AB,Sells;Buys;Trades Singles;Grading Services;Trade Nights,Pokemon,"Buys: ""buylist"" @ / | Trades Singles: ""trade in your"" @ / | Trade Nights: ""tournament"" @ / | Grading Services: ""grading submission"" @ /pages/card-grading-submissions",https://www.203collectibles.com
capital-city-cards-collectibles-edmonton,Capital City Cards & Collectibles,Edmonton,AB,Sells,,,https://www.instagram.com/capitalcitycardsyeg/?hl=en
common-box-games-edmonton,Common Box Games,Edmonton,AB,Sells;Sells Wax,Pokemon,"Sells Wax: ""sealed product"" @ /",https://commonboxgames.com
eclipse-games-edmonton,Eclipse Games,Edmonton,AB,Sells;Sells Wax,Magic;Pokemon,"Sells Wax: ""booster box"" @ /",https://eclipsegames.ca
froggers-house-of-cards-and-autograph-gallery-edmonton,Froggers House of Cards and Autograph Gallery,Edmonton,AB,Sells;Buys;Trade Nights,Baseball;Basketball;Football;Hockey;Magic;Pokemon,"Buys: ""sell your"" @ / | Trade Nights: ""tournament"" @ /",https://froggerscards.com
icons-and-heroes-edmonton,Icons and Heroes,Edmonton,AB,Sells,Baseball;Basketball;Football;Hockey;Magic;Pokemon,,https://iconsandheroes.ca
prisma-games-edmonton,Prisma Games,Edmonton,AB,Sells;Buys,,"Buys: ""sell your"" @ /",http://www.prismatcg.com
