sheet_row,Store Name,City,Sports/TCG Available
2,203 Collectibles LTD.,Edmonton,Pokemon
3,Al's Sports Quest,Whitecourt,
4,All In Sports Den,Fort McMurray,
5,Andys Sports Cards and Collectibles,Calgary,
6,Anime Hypercubed,Camrose,
7,Arkane Angel,Cold Lake,
8,Avalon Hobbies,Medicine Hat,Basketball;Football
9,Babs Gaming And Sports Cards Inc,Lloydminster,
10,Battle River Sports Excellence,Camrose,Baseball;Hockey
11,Bill Sr's Sports Cards,Red Deer,
12,Bingham's Sports Cards,Lethbridge,
13,Border City Games,Lloydminster,Football;Magic;Pokemon
14,Calgary Sports Cards,Calgary,
15,CamroseNextGen Gaming,Camrose,
16,Capital City Cards & Collectibles,Edmonton,
17,Capital City Sports Cards,Edmonton,"Hockey, Football, Basketball, Baseball, Pokemon"
18,Celly Sports & Games,Calgary,Baseball;Basketball;Football;Hockey;Magic;Pokemon
19,Cold Lake Sports Cards,Cold Lake,
20,Collectible Card Caddy,Okotoks,
21,Collectors Books & Cards,Calgary,Baseball;Hockey
22,Comic Readers,Medicine Hat,
23,Common Box Games,Edmonton,Pokemon
24,Cool Pool Cards,Cold Lake,
25,D J's Sports Cards Comics,Red Deer,Football;Hockey;Magic;Pokemon
26,Dave's Card Shop,Edmonton,
27,"DJS Sportscards, Comics & Collectibles",Red Deer,
28,Eastridge Sports Cards & Games,Calgary,Baseball;Basketball;Football;Hockey;Magic;Pokemon
29,Eclipse Games,Edmonton,Magic;Pokemon
30,ENV Collectible,Sherwood Park,Basketball;Magic;Pokemon
31,Evolution Sports Excellence,Leduc,Baseball;Hockey
32,Galactic Trading Post,Fort McMurray,Hockey;Magic;Pokemon
33,Games Galore & The Billiard Store,Medicine Hat,Hockey
34,Georges II,Sherwood Park,
35,Hockey Central Sports Memorabilia Inc,Sylvan Lake,
36,Holler Collectibles,Camrose,
37,Holmestead Sports Cards & Collectibles,Red Deer,
38,Hyperspace Comics & Games,Spruce Grove,Magic;Pokemon
39,Icons and Heroes,Edmonton,Baseball;Basketball;Football;Hockey;Magic;Pokemon
40,"Jesse Johnston · Edson Buy, Sell and Trade",Edson,
41,King Arthur's Collectibles,Lethbridge,
42,Lakeland Sports Cards,Bonnyville,
43,Level X Cards and Collectibles,Grande Prairie,
44,Maple Leaf Sports,Calgary,Baseball;Basketball;Football;Hockey;Magic;Pokemon
45,Mission: Fun & Games,St. Albert,Basketball;Football;Magic;Pokemon
46,Morrison Trading Post,Airdrie,Baseball;Basketball;Football;Hockey;Pokemon
47,Olympic Sports Cards and Games,Calgary,
48,One Man's Treasure,Westlock,
49,One Piece TCG Edson AB,Edson,
50,Overtime Sports Cards & Grading,Balzac,Baseball;Basketball;Football;Hockey;Magic;Pokemon
51,Paradise Games and Customs,Spruce Grove,
52,Personalized Sportcards,Lethbridge,
53,Pirates Cove Collectibles Ltd,Lethbridge,
54,Prisma Games,Edmonton,
55,Quantum Comics & Collectibles,Camrose,Pokemon
56,Retro,Camrose,
57,Sentry Box Cards,Calgary,Magic;Pokemon
58,"Showcase Comics & Hobbies Ltd., Comics, Collectibles, RC, Boardgames",Lethbridge,Baseball;Basketball;Football;Hockey;Magic;Pokemon
59,Slab Savvy CPA,Sherwood Park,Hockey
60,Snap! Collectables,Airdrie,
61,Sports Closet,Sherwood Park,Baseball;Basketball;Football;Hockey
62,Sports Closet,St. Albert,Baseball;Basketball;Football;Hockey
63,Stettler Game Corner,Stettler,
64,Strange Ideas Comics and Collectibles,Grande Prairie,
65,Tactical Magic Games Inc,Fort McMurray,
66,Tailgate Mercantile Co.,Okotoks,
67,Taps Games,Edmonton,Magic;Pokemon
68,The Card Goat,Edmonton,Hockey;Magic;Pokemon
69,The Cardboard Casket,Medicine Hat,
70,The Data Base Camrose,Camrose,
71,The Hobby Spot Leduc & Quarantined Case Breaks,Leduc,Baseball;Hockey;Magic;Pokemon
72,The Memorabilia Shop,Chestermere,
73,"The Mill Store - Okotoks, AB",Okotoks,
74,The Vault Sports Cards and Collectables,Lethbridge,
75,ThunderGround Comics And Collectibles,St. Albert,Magic
76,Toyz Game Emporium Inc,Grande Prairie,
77,Treasure Cove Comics & Collectables,Airdrie,Magic;Pokemon
78,Wayne's Sports Cards & Collectibles,Edmonton,Baseball;Basketball;Football;Hockey;Pokemon
79,West's Sports Cards,Edmonton,Baseball;Basketball;Football;Hockey;Pokemon
80,Whitecourt Collectors Corner,Whitecourt,
81,Wizard's Loft,Red Deer,
82,Wonderland Games,Grande Prairie,
83,YEG NHLHockeyStickers.Com,Edmonton,Hockey
84,Yellow Shirt Relics,Sylvan Lake,
85,Mintink Ajax,Ajax,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
86,Rival Cards,Ajax,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
87,Box Of Cards (Sports Cards),Aurora,Hockey;Baseball;Basketball;Football
88,Big B Comics,Barrie,Pokemon;Magic;Other
89,Box Of Cards (Sports Cards),Barrie,Hockey;Baseball;Basketball;Football
90,Doug Laurie Sports,Barrie,Hockey;Baseball;Basketball;Football
91,Gamer's Lair Ltd.,Barrie,Pokemon;Magic;Other
92,Ideal Hobbies,Barrie,Pokemon;Magic;Other
93,Loot Kingdom,Barrie,Baseball;Basketball;Football;Hockey;Pokemon
94,OMG Games,Barrie,Pokemon;Magic;Other
95,Pokémon TCG Store,Barrie,Pokemon;Magic;Other
96,Power Up Gaming,Barrie,Pokemon;Magic;Other
97,Sell Your Pokemon Cards,Barrie,Pokemon
98,Video Time,Barrie,
99,Stephen Licence Bicycles & Hobbies,Belleville,Pokemon;Magic;Other
100,Mint Sports Cards & Collectibles,Bolton,Hockey;Baseball;Basketball;Football
101,Cardboard Memories Inc.,Brampton,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
102,Doe's Cards,Brampton,Hockey;Baseball;Basketball;Football;Pokemon;Other
103,Dragon World Card Games & Collectibles,Brampton,Pokemon;Magic;Other
104,FeARoCards,Brampton,Pokemon
105,Gateway Cards & Sports,Brampton,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
106,Rolls and Realms Inc.,Brantford,
107,Breakers Choice,Burlington,Hockey;Baseball;Basketball;Football;Other
108,Hall Of Fame Collection,Burlington,
109,Forbes Hobbies,Cambridge,Magic;Pokemon;Other
110,MK Kards,Cambridge,Hockey;Other;Pokemon
111,Total Sports Cards & Collectibles,Etobicoke,Hockey;Baseball;Basketball;Football;Pokemon;Other
112,BFireBallDragon,Greater Sudbury,Pokemon;Magic;Other
113,Comics North,Greater Sudbury,Pokemon;Magic;Other
114,Diadem Cards & Hobbies,Greater Sudbury,Pokemon;Magic;Other
115,Docs hobby shop,Greater Sudbury,Pokemon;Magic;Other
116,Great Canadian Games & Hobbies,Greater Sudbury,Pokemon;Magic;Other
117,Great White North Pottery Supplies,Greater Sudbury,Basketball
118,Nepal Handicrafts,Greater Sudbury,
119,Retro Relics,Greater Sudbury,
120,Slab Labs TCG,Greater Sudbury,Pokemon;Magic;Other
121,Valixya,Greater Sudbury,
122,Brodie's Gaming,Guelph,Pokemon;Magic;Other
123,Microplay Video Games & Collectibles,Guelph,Pokemon;Magic;Other
124,Royal Cat Records,Guelph,
125,SCAHub Marketplace,Guelph,
126,Simply Wonderful Toys & Gizmos Inc,Guelph,Pokemon
127,The Beat Goes On,Guelph,
128,The Bookshelf,Guelph,
129,The Dragon,Guelph,Pokemon;Magic;Other
130,The Trading Post,Guelph,Football;Magic;Pokemon
131,TKO Toy Co,Guelph,Pokemon;Magic;Other
132,Wyndham Art Supplies,Guelph,Basketball;Football
133,1UP Games,Hamilton,Pokemon;Magic;Other
134,Big B Comics,Hamilton,Pokemon;Magic;Other
135,Black Knight Games,Hamilton,Pokemon;Magic;Other
136,Breakaway Sports Cards,Hamilton,Hockey;Baseball;Basketball;Football
137,Burdin's Comics,Hamilton,Pokemon;Magic;Other
138,Conspiracy Comics Games & Anime,Hamilton,Pokemon;Magic;Other
139,Dark Fox TCG,Hamilton,Pokemon;Magic;Other
140,Digital Grade Submissions,Hamilton,
141,Heroes N' Legends,Hamilton,
142,M4 Sports Cards and Collectibles,Hamilton,Hockey;Baseball;Basketball;Football
143,Mancala Monk Board Game Cafe Hamilton,Hamilton,Pokemon;Magic;Other
144,MyPops.ca Hamilton Toys & Funko & TCG,Hamilton,Pokemon;Magic;Other
145,Never Board Games Lounge,Hamilton,Pokemon;Magic;Other
146,ParadoxTCG,Hamilton,Pokemon;Magic;Other
147,Retrosaurus,Hamilton,Pokemon
