slug,name,city,province,address,website,rating,reviewCount,status,verdict,proposed_categories,evidence,generic_sports_hits,name_suggests_sports
snap-collectables-airdrie,Snap! Collectables,Airdrie,AB,"224B Main St N, Airdrie, AB T4B 0R6",http://www.snapcollectables.com/,4.8,331,200,NO-CATEGORY-EVIDENCE,,,,
lakeland-sports-cards-bonnyville,Lakeland Sports Cards,Bonnyville,AB,"50 St, Bonnyville, AB T9N 2G3",https://lakelandsportscards.com/,5,2,200,SPORTS-GENERIC,,,sports?\s*cards?,yes
andys-sports-cards-and-collectibles-calgary,Andys Sports Cards and Collectibles,Calgary,AB,"10093 Hidden Valley Dr NW, Calgary, AB T3A 5Z7",http://andyssportscards.ca/,4.8,172,200,SPORTS-GENERIC,,,sports?\s*cards?,yes
olympic-sports-cards-and-games-calgary,Olympic Sports Cards and Games,Calgary,AB,"180 94 Ave SE, Calgary, AB T2J 3G8",http://www.olympicsportscardsandgames.com/,4.7,74,200,SPORTS-GENERIC,,,sports?\s*cards?,yes
anime-hypercubed-camrose,Anime Hypercubed,Camrose,AB,"5019 46 St, Camrose, AB T4V 3G3",,4.5,13,no-website,NO-WEBSITE,,,,
camrosenextgen-gaming-camrose,CamroseNextGen Gaming,Camrose,AB,"5005 46 St, Camrose, AB T4V 3G3",https://sites.google.com/view/camrosenextgengaming/home,5,1,200,NO-CATEGORY-EVIDENCE,,,,
holler-collectibles-camrose,Holler Collectibles,Camrose,AB,"5016D 52a St, Camrose, AB T4V 1W8",https://holler-computer-services-and-collectibles.square.site/s/shop,,,200,NO-CATEGORY-EVIDENCE,,,,
retro-camrose,Retro,Camrose,AB,"5017 51 St, Camrose, AB T4V 1S6",https://play-here.ca/,4.6,287,200,NO-CATEGORY-EVIDENCE,,,,
the-data-base-camrose-camrose,The Data Base Camrose,Camrose,AB,"5005 46 St, Camrose, AB T4V 3G3",http://www.thedatabasecamrose.ca/,5,29,200,NO-CATEGORY-EVIDENCE,,,,
the-memorabilia-shop-chestermere,The Memorabilia Shop,Chestermere,AB,"210 Springmere Close, Chestermere, AB T1X 1K1",,,,no-website,NO-WEBSITE,,,,
arkane-angel-cold-lake,Arkane Angel,Cold Lake,AB,"5123 50 Ave, Cold Lake, AB T9M 2A6",https://www.arkane-angel.ca/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=3851568251012994274,4.3,23,200,NO-CATEGORY-EVIDENCE,,,,
cool-pool-cards-cold-lake,Cool Pool Cards,Cold Lake,AB,"5107 50 Ave, Cold Lake, AB T9M 1P4",,,,no-website,NO-WEBSITE,,,,
capital-city-cards-collectibles-edmonton,Capital City Cards & Collectibles,Edmonton,AB,"12011 111 Ave NW, Edmonton, AB T5G 0E7",https://www.instagram.com/capitalcitycardsyeg/?hl=en,5,14,200,NO-CATEGORY-EVIDENCE,,,,
dave-s-card-shop-edmonton,Dave's Card Shop,Edmonton,AB,"15734 100 Ave NW, Edmonton, AB T5P 0L1",http://davescardshop.ca/,5,22,http-404,UNREACHABLE,,,,
prisma-games-edmonton,Prisma Games,Edmonton,AB,"9919 48 Ave NW, Edmonton, AB T6E 5H5",http://www.prismatcg.com/,4.5,143,200,NO-CATEGORY-EVIDENCE,,,,
jesse-johnston-edson-buy-sell-and-trade-edson,"Jesse Johnston · Edson Buy, Sell and Trade",Edson,AB,"605 50 St, Edson, AB T7E 1N7",,,,no-website,NO-WEBSITE,,,,
all-in-sports-den-fort-mcmurray,All In Sports Den,Fort McMurray,AB,"8324 Franklin Ave, Fort McMurray, AB T9H 4Y9",,4.3,16,no-website,NO-WEBSITE,,,,
tactical-magic-games-inc-fort-mcmurray,Tactical Magic Games Inc,Fort McMurray,AB,"213 Timberline Dr #2, Fort McMurray, AB T9K 1S1",https://facebook.com/tacticalmagicgames,4.8,93,http-400,UNREACHABLE,,,,
strange-ideas-comics-and-collectibles-grande-prairie,Strange Ideas Comics and Collectibles,Grande Prairie,AB,"11601 99 St, Grande Prairie, AB T8V 6Z1",https://www.strangeideascomics.ca/,4.5,192,200,NO-CATEGORY-EVIDENCE,,,,
toyz-game-emporium-inc-grande-prairie,Toyz Game Emporium Inc,Grande Prairie,AB,"11012 100 St #107, Grande Prairie, AB T8V 2N1",https://www.facebook.com/toyzgame/,4.5,263,http-400,UNREACHABLE,,,,
wonderland-games-grande-prairie,Wonderland Games,Grande Prairie,AB,"10032 100 Ave., Grande Prairie, AB T8V 0V3",,4.7,296,no-website,NO-WEBSITE,,,,
bingham-s-sports-cards-lethbridge,Bingham's Sports Cards,Lethbridge,AB,"CENTRE VILLAGE MALL, 1240 2A Ave N, Lethbridge, AB T1H 0E4",,3.1,8,no-website,NO-WEBSITE,,,,yes
king-arthur-s-collectibles-lethbridge,King Arthur's Collectibles,Lethbridge,AB,"304 13 St N, Lethbridge, AB T1H 2R8",https://www.ebay.ca/str/kingarthurscollectiblescanada?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=aZbMmwG3Tr6&sssrc=3418065&ssuid=aZbMmwG3Tr6&widget_ver=artemis&media=COPY,5,2,200,SPORTS,Baseball|Basketball|Football|Hockey,Baseball: \btopps\b/\bbowman\b; Basketball: \bprizm\b; Football: \bdonruss\b; Hockey: \bupper\s*deck\b/\bo-?pee-?chee\b,\bpanini\b|sports?\s*cards?|sports?\s*memorabilia,
personalized-sportcards-lethbridge,Personalized Sportcards,Lethbridge,AB,"2938 12 Ave N, Lethbridge, AB T1H 5J9",http://personalizedsportcards.com/,,,URLError,UNREACHABLE,,,,yes
pirates-cove-collectibles-ltd-lethbridge,Pirates Cove Collectibles Ltd,Lethbridge,AB,"1253 2 Avenue a N, Lethbridge, AB T1H 0E9",https://www.facebook.com/profile.php?id=100054447371205,4.2,99,http-400,UNREACHABLE,,,,
the-vault-sports-cards-and-collectables-lethbridge,The Vault Sports Cards and Collectables,Lethbridge,AB,"330 7 St S, Lethbridge, AB T1J 0N6",,5,54,no-website,NO-WEBSITE,,,,yes
babs-gaming-and-sports-cards-inc-lloydminster,Babs Gaming And Sports Cards Inc,Lloydminster,AB,"5720 44 St, Lloydminster, AB T9V 0B3",http://www.babsgaming.ca/,4.7,46,http-404,UNREACHABLE,,,,yes
comic-readers-medicine-hat,Comic Readers,Medicine Hat,AB,"924 S Railway St, Medicine Hat, AB T1A 3G4",https://comicreadersregina.wordpress.com/,4.6,261,200,TCG-ONLY,Lorcana|Magic|Yu-Gi-Oh,Lorcana: \blorcana\b; Magic: magic:?\s*the\s*gathering; Yu-Gi-Oh: yu-?gi-?oh,,
the-cardboard-casket-medicine-hat,The Cardboard Casket,Medicine Hat,AB,"1201 Kingsway Ave SE #201, Medicine Hat, AB T1A 2Y2",http://www.facebook.com/groups/thecardboardcasket,4.2,31,http-400,UNREACHABLE,,,,
collectible-card-caddy-okotoks,Collectible Card Caddy,Okotoks,AB,"900 Village Ln 330, 14, Okotoks, AB T1S 1M2",http://collectiblecardcaddy.com/,,,URLError,UNREACHABLE,,,,
tailgate-mercantile-co-okotoks,Tailgate Mercantile Co.,Okotoks,AB,"21 Elizabeth St Unit 2, Okotoks, AB",,4.2,26,no-website,NO-WEBSITE,,,,
bill-sr-s-sports-cards-red-deer,Bill Sr's Sports Cards,Red Deer,AB,"4781 49 St, Red Deer, AB T4N 1T6",,4.1,19,no-website,NO-WEBSITE,,,,yes
djs-sportscards-comics-collectibles-red-deer,"DJS Sportscards, Comics & Collectibles",Red Deer,AB,"5560 45 St Unit E13, Red Deer, AB T4N 1L1",,4.5,91,no-website,NO-WEBSITE,,,,yes
holmestead-sports-cards-collectibles-red-deer,Holmestead Sports Cards & Collectibles,Red Deer,AB,"6200 67a St, Red Deer, AB T4P 3E8",https://www.facebook.com/HOLMESTEADSCC,4.5,33,http-400,UNREACHABLE,,,,yes
wizard-s-loft-red-deer,Wizard's Loft,Red Deer,AB,"5201 54 Ave Unit 110, Red Deer, AB T4N 5K5",,4.8,428,no-website,NO-WEBSITE,,,,
georges-ii-sherwood-park,Georges II,Sherwood Park,AB,"52 Brentwood Blvd, Sherwood Park, AB T8A 2H6",,4.7,94,no-website,NO-WEBSITE,,,,
paradise-games-and-customs-spruce-grove,Paradise Games and Customs,Spruce Grove,AB,"4 Spruce Ridge Dr #40, Spruce Grove, AB T7X 4S3",http://paradisegames.ca/,4.6,28,200,NO-CATEGORY-EVIDENCE,,,,
stettler-game-corner-stettler,Stettler Game Corner,Stettler,AB,"4940 50 St, Stettler, AB T0C 2L2",,5,5,no-website,NO-WEBSITE,,,,
hockey-central-sports-memorabilia-inc-sylvan-lake,Hockey Central Sports Memorabilia Inc,Sylvan Lake,AB,"3715 47 Ave Unit 330, Sylvan Lake, AB T4S 0C8",,4.1,269,no-website,NO-WEBSITE,,,,yes
