slug,name,city,province,website,reviewCount,proposal,confidence,basis,specific_categories,http_status,card_evidence
snap-collectables-airdrie,Snap! Collectables,Airdrie,AB,http://www.snapcollectables.com/,331,UNKNOWN,low,name says cards/collectibles but not which kind; no usable website evidence,,200,AMBIGUOUS
lakeland-sports-cards-bonnyville,Lakeland Sports Cards,Bonnyville,AB,https://lakelandsportscards.com/,2,SPORTS,high,own site: sports?\s*cards?,,200,CARDS-LIKELY
andys-sports-cards-and-collectibles-calgary,Andys Sports Cards and Collectibles,Calgary,AB,http://andyssportscards.ca/,172,SPORTS,high,own site: sports?\s*cards?,,200,CARDS-CONFIRMED
olympic-sports-cards-and-games-calgary,Olympic Sports Cards and Games,Calgary,AB,http://www.olympicsportscardsandgames.com/,74,SPORTS,high,own site: sports?\s*cards?,,200,CARDS-LIKELY
anime-hypercubed-camrose,Anime Hypercubed,Camrose,AB,,13,UNKNOWN,none,no website evidence (no-website) and name says nothing,,no-website,NO-WEBSITE
camrosenextgen-gaming-camrose,CamroseNextGen Gaming,Camrose,AB,https://sites.google.com/view/camrosenextgengaming/home,1,UNKNOWN,none,no website evidence (200) and name says nothing,,200,NO-CARD-EVIDENCE
holler-collectibles-camrose,Holler Collectibles,Camrose,AB,https://holler-computer-services-and-collectibles.square.site/s/shop,,UNKNOWN,low,name says cards/collectibles but not which kind; no usable website evidence,,200,NO-CARD-EVIDENCE
retro-camrose,Retro,Camrose,AB,https://play-here.ca/,287,UNKNOWN,none,no website evidence (200) and name says nothing,,200,NO-CARD-EVIDENCE
the-data-base-camrose-camrose,The Data Base Camrose,Camrose,AB,http://www.thedatabasecamrose.ca/,29,UNKNOWN,none,no website evidence (200) and name says nothing,,200,NO-CARD-EVIDENCE
the-memorabilia-shop-chestermere,The Memorabilia Shop,Chestermere,AB,,,UNKNOWN,none,no website evidence (no-website) and name says nothing,,no-website,NO-WEBSITE
arkane-angel-cold-lake,Arkane Angel,Cold Lake,AB,https://www.arkane-angel.ca/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=3851568251012994274,23,UNKNOWN,none,no website evidence (200) and name says nothing,,200,NO-CARD-EVIDENCE
cool-pool-cards-cold-lake,Cool Pool Cards,Cold Lake,AB,,,UNKNOWN,low,name says cards/collectibles but not which kind; no usable website evidence,,no-website,NO-WEBSITE
capital-city-cards-collectibles-edmonton,Capital City Cards & Collectibles,Edmonton,AB,https://www.instagram.com/capitalcitycardsyeg/?hl=en,14,UNKNOWN,low,name says cards/collectibles but not which kind; no usable website evidence,,200,NO-CARD-EVIDENCE
dave-s-card-shop-edmonton,Dave's Card Shop,Edmonton,AB,http://davescardshop.ca/,22,UNKNOWN,low,name says cards/collectibles but not which kind; no usable website evidence,,http-404,UNREACHABLE
prisma-games-edmonton,Prisma Games,Edmonton,AB,http://www.prismatcg.com/,143,UNKNOWN,none,no website evidence (200) and name says nothing,,200,CARDS-CONFIRMED
jesse-johnston-edson-buy-sell-and-trade-edson,"Jesse Johnston · Edson Buy, Sell and Trade",Edson,AB,,,UNKNOWN,none,no website evidence (no-website) and name says nothing,,no-website,NO-WEBSITE
all-in-sports-den-fort-mcmurray,All In Sports Den,Fort McMurray,AB,,16,SPORTS,medium,business name states sports cards; no usable website evidence,,no-website,NO-WEBSITE
tactical-magic-games-inc-fort-mcmurray,Tactical Magic Games Inc,Fort McMurray,AB,https://facebook.com/tacticalmagicgames,93,UNKNOWN,none,no website evidence (http-400) and name says nothing,,http-400,UNREACHABLE
strange-ideas-comics-and-collectibles-grande-prairie,Strange Ideas Comics and Collectibles,Grande Prairie,AB,https://www.strangeideascomics.ca/,192,UNKNOWN,low,name says cards/collectibles but not which kind; no usable website evidence,,200,NO-CARD-EVIDENCE
