slug,name,city,province,address,website,rating,reviewCount,status,verdict,proposed_categories,evidence,generic_sports_hits,name_suggests_sports
action-packed-comics-games-kingston,Action Packed Comics & Games,Kingston,ON,"724 Princess St, Kingston, ON K7L 1G2",http://actionpackedcomics.com/,4.4,349,200,BOTH,Baseball|Hockey|Lorcana|Magic|Pokemon|Yu-Gi-Oh,Baseball: baseball\s*cards?/\btopps\b; Hockey: hockey\s*cards?; Lorcana: \blorcana\b; Magic: magic:?\s*the\s*gathering; Pokemon: pok[eé]mon\s*(cards?|tcg|singles?|booster|etb); Yu-Gi-Oh: yu-?gi-?oh,sports?\s*cards?,
gamers-emporium-london,Gamers Emporium,London,ON,"1634 Hyde Park Rd, London, ON N6H 0L5",http://gamersemporium.ca/,4.3,152,200,BOTH,Hockey|Magic,Hockey: \bupper\s*deck\b; Magic: magic:?\s*the\s*gathering,graded\s*cards?,
l-a-mood-comics-games-london,L. A. Mood Comics & Games,London,ON,"100 Kellogg Ln Ste 5, London, ON N5W 0B4",https://lamoodcomics.ca/,4.7,522,200,BOTH,Hockey|Lorcana|Magic|Yu-Gi-Oh,Hockey: \bupper\s*deck\b; Lorcana: \blorcana\b; Magic: magic:?\s*the\s*gathering/\bmtg\b; Yu-Gi-Oh: yu-?gi-?oh,sports?\s*cards?,
fine-toys-store-markham,Fine Toys Store,Markham,ON,"8333 Kennedy Rd #2017-2018, Markham, ON L3R 4P8, Canada",https://www.finetoys.ca/,5,3,200,BOTH,Hockey|Magic|One Piece|Pokemon|Yu-Gi-Oh,Hockey: \bupper\s*deck\b; Magic: magic:?\s*the\s*gathering; One Piece: one\s*piece\s*(tcg|cards?|booster); Pokemon: pok[eé]mon\s*(cards?|tcg|singles?|booster|etb); Yu-Gi-Oh: yu-?gi-?oh,,
kadoone-markham,KadOone,Markham,ON,"290 Yorktech Dr #15, Markham, ON L6G 0A7",http://kadoone.ca/,4.9,214,200,BOTH,Baseball|Hockey|Lorcana|Magic|Pokemon|Yu-Gi-Oh,Baseball: \btopps\b; Hockey: \bupper\s*deck\b; Lorcana: \blorcana\b; Magic: magic:?\s*the\s*gathering/\bmtg\b; Pokemon: pok[eé]mon\s*(cards?|tcg|singles?|booster|etb); Yu-Gi-Oh: yu-?gi-?oh,\bpanini\b|psa\s*(graded|slab|10|9)|sports?\s*cards?,
pvp-shoppe-markham,PvP Shoppe,Markham,ON,"2/F, 9390 Woodbine Ave 2/F, Unit 2R2, Markham, ON L6C 0M5",https://pvpshoppe.com/,5,959,200,BOTH,Hockey|Lorcana|Magic|Pokemon,Hockey: \bupper\s*deck\b; Lorcana: \blorcana\b; Magic: magic:?\s*the\s*gathering/\bmtg\b; Pokemon: pok[eé]mon\s*(cards?|tcg|singles?|booster|etb)/\bpok[eé]mon\s*center\b,graded\s*cards?|sports?\s*cards?,
hobby-knight-in-canada-newmarket,Hobby Knight in Canada,Newmarket,ON,"17766 Leslie St B, Newmarket, ON L3Y 4W4",https://hobbyknightincanada.crystalcommerce.com,,,200,BOTH,Baseball|Lorcana|Magic|One Piece|Pokemon|Yu-Gi-Oh,Baseball: \btopps\b; Lorcana: \blorcana\b; Magic: magic:?\s*the\s*gathering/\bmtg\b; One Piece: one\s*piece\s*(tcg|cards?|booster); Pokemon: pok[eé]mon\s*(cards?|tcg|singles?|booster|etb); Yu-Gi-Oh: yu-?gi-?oh,sports?\s*cards?,
hobbiesville-ottawa,Hobbiesville,Ottawa,ON,"2635 Blackwell St Unit 5, Ottawa, ON K1B 4E4",https://hobbiesville.com/,4.6,118,200,BOTH,Hockey|Lorcana|Magic|One Piece|Pokemon|Yu-Gi-Oh,Hockey: hockey\s*cards?; Lorcana: \blorcana\b; Magic: magic:?\s*the\s*gathering/\bmtg\b/\bcommander\s*(night|deck)\b; One Piece: one\s*piece\s*(tcg|cards?|booster); Pokemon: pok[eé]mon\s*(cards?|tcg|singles?|booster|etb); Yu-Gi-Oh: yu-?gi-?oh,sports?\s*cards?|sports?\s*memorabilia,
hobbiesville-ottawa-ottawa,Hobbiesville Ottawa,Ottawa,ON,"607 Somerset St W, Ottawa, ON K1R 6C6",https://hobbiesville.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,4.5,2229,200,BOTH,Hockey|Lorcana|Magic|One Piece|Pokemon|Yu-Gi-Oh,Hockey: hockey\s*cards?; Lorcana: \blorcana\b; Magic: magic:?\s*the\s*gathering/\bmtg\b/\bcommander\s*(night|deck)\b; One Piece: one\s*piece\s*(tcg|cards?|booster); Pokemon: pok[eé]mon\s*(cards?|tcg|singles?|booster|etb); Yu-Gi-Oh: yu-?gi-?oh,sports?\s*cards?|sports?\s*memorabilia,
the-toy-trove-st-catharines,The Toy Trove,St. Catharines,ON,"280 Geneva St Rear Unit, St. Catharines, ON L2N 2E8",https://thetoytrove.com,4.4,417,200,BOTH,Hockey|Lorcana|Magic|One Piece|Pokemon|Yu-Gi-Oh,Hockey: hockey\s*cards?; Lorcana: \blorcana\b; Magic: magic:?\s*the\s*gathering/\bmtg\b/\bcommander\s*(night|deck)\b; One Piece: one\s*piece\s*(tcg|cards?|booster); Pokemon: pok[eé]mon\s*(cards?|tcg|singles?|booster|etb); Yu-Gi-Oh: yu-?gi-?oh,graded\s*cards?|sports?\s*cards?,
